,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
18,90251,0,1,19,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,2000,1200,NaN,NaN,NaN,0,7,4,14.0,18.0,2
19,90251,0,1,20,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1100,1900,NaN,NaN,NaN,0,7,4,15.0,19.0,2
20,90251,0,1,21,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,2200,2700,NaN,NaN,NaN,0,7,4,16.0,20.0,2
21,90251,0,1,22,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,3700,2200,NaN,NaN,NaN,1,7,4,17.0,21.0,2
22,90251,0,1,23,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1300,1100,NaN,NaN,NaN,0,7,4,18.0,22.0,2
23,90251,0,1,24,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1300,1000,NaN,NaN,NaN,0,7,4,19.0,23.0,2
24,90251,0,1,25,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,2400,2800,NaN,NaN,NaN,0,7,4,20.0,24.0,2
25,90251,0,1,26,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1400,1400,NaN,NaN,NaN,0,7,4,21.0,25.0,2
26,90251,0,1,27,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1200,3200,NaN,NaN,NaN,0,7,4,22.0,26.0,2
27,90251,0,1,28,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1500,2000,NaN,NaN,NaN,0,7,4,23.0,27.0,2
28,90251,0,1,29,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,3300,1800,NaN,NaN,NaN,1,7,4,24.0,28.0,3
29,90251,0,1,30,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,2700,2000,NaN,NaN,NaN,0,7,4,25.0,29.0,3
30,90251,0,1,31,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1400,2400,NaN,NaN,NaN,0,7,4,26.0,30.0,3
31,90251,0,1,32,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1500,1700,NaN,NaN,NaN,0,7,4,27.0,31.0,3
32,90251,0,1,33,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1900,1100,NaN,NaN,NaN,0,7,4,28.0,32.0,3
33,90251,0,1,34,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,2900,1900,NaN,NaN,NaN,0,7,4,29.0,33.0,3
