,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
27,56536,0,1,28,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,1900,1500,no_gain,1,485,0,19,1,23.0,27.0,2,0
28,56536,0,1,29,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,1700,2700,gain,1,282,0,19,1,24.0,28.0,3,0
29,56536,0,1,30,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,1700,1900,gain,1,324,0,19,1,25.0,29.0,3,0
30,56536,0,1,31,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,2300,2900,no_gain,1,328,0,19,1,26.0,30.0,3,0
31,56536,0,1,32,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1500,3100,no_gain,1,263,0,19,1,27.0,31.0,3,0
32,56536,0,1,33,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,3800,2700,gain,1,292,1,19,1,28.0,32.0,3,0
33,56536,0,1,34,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1800,2300,gain,1,336,0,19,1,29.0,33.0,3,0
34,56536,0,1,35,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,1500,1600,gain,1,324,0,19,1,30.0,34.0,3,0
35,56536,0,1,36,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,2700,3300,no_gain,1,272,0,19,1,31.0,35.0,3,0
36,56536,0,1,37,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,2100,1100,no_gain,1,488,0,19,1,32.0,36.0,3,0
37,56536,0,1,38,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1400,2600,gain,1,246,0,19,1,33.0,37.0,3,0
