,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
21,53725,0,1,22,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,1300,1700,NaN,NaN,NaN,0,3,2,17.0,21.0,2
22,53725,0,1,23,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,2700,1400,NaN,NaN,NaN,0,3,2,18.0,22.0,2
23,53725,0,1,24,D,,,gain,2000,3100,NaN,NaN,NaN,0,3,2,19.0,23.0,2
24,53725,0,1,25,B,,,no_gain,1300,1000,NaN,NaN,NaN,0,3,2,20.0,24.0,2
25,53725,0,1,26,L,,,gain,4100,1600,NaN,NaN,NaN,1,3,2,21.0,25.0,2
26,53725,0,1,27,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,2800,1400,NaN,NaN,NaN,0,3,2,22.0,26.0,2
27,53725,0,1,28,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,1000,1200,NaN,NaN,NaN,0,3,2,23.0,27.0,2
28,53725,0,1,29,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,1600,2100,NaN,NaN,NaN,0,3,2,24.0,28.0,3
29,53725,0,1,30,A,,,gain,1000,3200,NaN,NaN,NaN,0,3,2,25.0,29.0,3
30,53725,0,1,31,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,1400,1400,NaN,NaN,NaN,0,3,2,26.0,30.0,3
31,53725,0,1,32,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,3200,3100,NaN,NaN,NaN,1,3,2,27.0,31.0,3
32,53725,0,1,33,I,,,no_gain,1700,2900,NaN,NaN,NaN,0,3,2,28.0,32.0,3
33,53725,0,1,34,H,,,gain,2200,2900,NaN,NaN,NaN,0,3,2,29.0,33.0,3
34,53725,0,1,35,B,,,no_gain,2800,1600,NaN,NaN,NaN,0,3,2,30.0,34.0,3
35,53725,0,1,36,E,,,no_gain,1900,1500,NaN,NaN,NaN,0,3,2,31.0,35.0,3
36,53725,0,1,37,L,,,gain,1100,2500,NaN,NaN,NaN,0,3,2,32.0,36.0,3
37,53725,0,1,38,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1200,2100,NaN,NaN,NaN,0,3,2,33.0,37.0,3
38,53725,0,1,39,D,,,gain,2600,2900,NaN,NaN,NaN,0,3,2,34.0,38.0,3
39,53725,0,1,40,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,3100,3300,NaN,NaN,NaN,1,3,2,35.0,39.0,3
40,53725,0,2,41,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,4000,3000,NaN,NaN,NaN,1,9,2,36.0,40.0,4
41,53725,0,2,42,D,,,gain,1000,2000,NaN,NaN,NaN,0,9,2,37.0,41.0,4
42,53725,0,2,43,H,,,gain,1600,2000,NaN,NaN,NaN,0,9,2,38.0,42.0,4
43,53725,0,2,44,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,1100,2300,NaN,NaN,NaN,0,9,2,39.0,43.0,4
44,53725,0,2,45,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,1300,2300,NaN,NaN,NaN,0,9,2,40.0,44.0,4
45,53725,0,2,46,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,2000,1500,NaN,NaN,NaN,0,9,2,41.0,45.0,4
46,53725,0,2,47,B,,,no_gain,4300,2000,NaN,NaN,NaN,1,9,2,42.0,46.0,4
47,53725,0,2,48,E,,,no_gain,1300,3300,NaN,NaN,NaN,0,9,2,43.0,47.0,4
48,53725,0,2,49,I,,,no_gain,2300,2200,NaN,NaN,NaN,0,9,2,44.0,48.0,4
49,53725,0,2,50,A,,,gain,1400,1100,NaN,NaN,NaN,0,9,2,45.0,49.0,4
50,53725,0,2,51,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,2500,1400,NaN,NaN,NaN,0,9,2,46.0,50.0,4
51,53725,0,2,52,L,,,gain,1800,2300,NaN,NaN,NaN,0,9,2,47.0,51.0,4
52,53725,0,2,53,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,3700,2000,NaN,NaN,NaN,1,9,2,48.0,52.0,5
53,53725,0,2,54,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,1400,1400,NaN,NaN,NaN,0,9,2,49.0,53.0,5
54,53725,0,2,55,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,1600,1100,NaN,NaN,NaN,0,9,2,50.0,54.0,5
55,53725,0,2,56,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1300,2700,NaN,NaN,NaN,0,9,2,51.0,55.0,5
56,53725,0,2,57,D,,,gain,1300,1100,NaN,NaN,NaN,0,9,2,52.0,56.0,5
57,53725,0,2,58,A,,,gain,1100,1200,NaN,NaN,NaN,0,9,2,53.0,57.0,5
58,53725,0,2,59,E,,,no_gain,1500,1400,NaN,NaN,NaN,0,9,2,54.0,58.0,5
59,53725,0,2,60,H,,,gain,4200,2000,NaN,NaN,NaN,1,9,2,55.0,59.0,5
60,53725,0,2,61,L,,,gain,1400,1300,NaN,NaN,NaN,0,9,2,56.0,60.0,5
61,53725,0,2,62,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,1500,1200,NaN,NaN,NaN,0,9,2,57.0,61.0,5
62,53725,0,2,63,B,,,no_gain,1000,1800,NaN,NaN,NaN,0,9,2,58.0,62.0,5
63,53725,0,2,64,I,,,no_gain,1800,2900,NaN,NaN,NaN,0,9,2,59.0,63.0,5
64,53725,0,2,65,D,,,gain,1400,1400,NaN,NaN,NaN,0,9,2,60.0,64.0,6
65,53725,0,2,66,L,,,gain,3300,1800,NaN,NaN,NaN,1,9,2,61.0,65.0,6
66,53725,0,2,67,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,2200,2500,NaN,NaN,NaN,0,9,2,62.0,66.0,6
67,53725,0,2,68,H,,,gain,1200,2900,NaN,NaN,NaN,0,9,2,63.0,67.0,6
68,53725,0,2,69,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,2500,1600,NaN,NaN,NaN,0,9,2,64.0,68.0,6
69,53725,0,2,70,B,,,no_gain,2600,2300,NaN,NaN,NaN,0,9,2,65.0,69.0,6
70,53725,0,2,71,I,,,no_gain,2200,2700,NaN,NaN,NaN,0,9,2,66.0,70.0,6
71,53725,0,2,72,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,4600,2500,NaN,NaN,NaN,1,9,2,67.0,71.0,6
72,53725,0,2,73,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,1100,2100,NaN,NaN,NaN,0,9,2,68.0,72.0,6
73,53725,0,2,74,A,,,gain,1400,3300,NaN,NaN,NaN,0,9,2,69.0,73.0,6
74,53725,0,2,75,E,,,no_gain,1700,2200,NaN,NaN,NaN,0,9,2,70.0,74.0,6
75,53725,0,2,76,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,1400,1200,NaN,NaN,NaN,0,9,2,71.0,75.0,6
