"","X","event","trial","time","PID","ttype","phase"
"318",318,"focus",0,1686529,"QGgHx","full_screen",NA
"319",319,"blur",0,1687197,"QGgHx","full_screen",NA
"320",320,"focus",0,1733365,"QGgHx","full_screen",NA
"321",321,"blur",0,1734131,"QGgHx","full_screen",NA
"322",322,"focus",0,1796235,"QGgHx","full_screen",NA
"323",323,"blur",0,1796898,"QGgHx","full_screen",NA
"324",324,"focus",0,2709500,"QGgHx","full_screen",NA
"325",325,"blur",0,2710149,"QGgHx","full_screen",NA
"326",326,"focus",0,4116429,"QGgHx","full_screen",NA
"327",327,"blur",0,4119006,"QGgHx","full_screen",NA
"328",328,"focus",0,9319982,"QGgHx","full_screen",NA
"329",329,"blur",0,9320954,"QGgHx","full_screen",NA
"330",330,"focus",0,9387275,"QGgHx","full_screen",NA
"331",331,"blur",0,9388989,"QGgHx","full_screen",NA
"332",332,"focus",0,10200736,"QGgHx","full_screen",NA
"333",333,"blur",0,10201502,"QGgHx","full_screen",NA
"334",334,"focus",0,10373032,"QGgHx","full_screen",NA
"335",335,"blur",0,10373739,"QGgHx","full_screen",NA
"336",336,"focus",0,11006742,"QGgHx","full_screen",NA
"337",337,"blur",0,11007729,"QGgHx","full_screen",NA
"338",338,"focus",0,11009265,"QGgHx","full_screen",NA
"339",339,"blur",0,11010594,"QGgHx","full_screen",NA
"340",340,"focus",0,17669702,"QGgHx","full_screen",NA
"341",341,"blur",0,17670635,"QGgHx","full_screen",NA
"342",342,"focus",0,17880323,"QGgHx","full_screen",NA
"343",343,"blur",0,17880952,"QGgHx","full_screen",NA
"344",344,"focus",0,17978196,"QGgHx","full_screen",NA
"345",345,"fullscreenenter",0,17987447,"QGgHx","full_screen",NA
"346",346,"blur",1315,20797789,"QGgHx","debreif_strategy_unchosen",NA
"347",347,"focus",1315,20798703,"QGgHx","debreif_strategy_unchosen",NA
"348",348,"fullscreenenter",0,8513,"qZmtG","full_screen",NA
"349",349,"blur",0,0,"rHMtE","full_screen",NA
"350",350,"focus",0,49226,"rHMtE","full_screen",NA
"351",351,"fullscreenenter",0,49356,"rHMtE","full_screen",NA
"352",352,"fullscreenexit",1,205942,"rHMtE","rating_instructions",NA
"353",353,"blur",1,207889,"rHMtE","rating_instructions",NA
"354",354,"focus",1,209992,"rHMtE","rating_instructions",NA
"355",355,"blur",1,832853,"rHMtE","rating_instructions",NA
"356",356,"focus",1,853123,"rHMtE","rating_instructions",NA
"357",357,"blur",1,855347,"rHMtE","rating_instructions",NA
"358",358,"focus",1,858646,"rHMtE","rating_instructions",NA
"359",359,"blur",1,1010645,"rHMtE","rating_instructions",NA
"360",360,"focus",1,1017264,"rHMtE","rating_instructions",NA
"361",361,"blur",1344,3722488,"rHMtE","final_reward_tally",NA
"362",362,"focus",1344,3733032,"rHMtE","final_reward_tally",NA
"363",363,"blur",1345,3739454,"rHMtE","debreif_end",NA
"364",364,"focus",1345,3740042,"rHMtE","debreif_end",NA
"365",365,"blur",1345,3740564,"rHMtE","debreif_end",NA
"366",366,"blur",0,0,"rwXAf","full_screen",NA
"367",367,"focus",0,2073,"rwXAf","full_screen",NA
"368",368,"fullscreenenter",0,9664,"rwXAf","full_screen",NA
"369",369,"focus",0,0,"SAcSz","full_screen",NA
"370",370,"fullscreenenter",0,22568,"SAcSz","full_screen",NA
"371",371,"blur",71,1117801,"SAcSz","missed_instruction_checkup",NA
"372",372,"focus",71,1121140,"SAcSz","missed_instruction_checkup",NA
"373",373,"blur",71,1124285,"SAcSz","missed_instruction_checkup",NA
"374",374,"focus",71,1126647,"SAcSz","missed_instruction_checkup",NA
"375",375,"fullscreenexit",75,2180359,"SAcSz","first_deliberation_block",NA
"376",376,"blur",75,2181954,"SAcSz","first_deliberation_block",NA
"377",377,"focus",75,2216924,"SAcSz","first_deliberation_block",NA
"378",378,"blur",446,3026040,"SAcSz","respond_faster",NA
"379",379,"focus",448,3042374,"SAcSz","see_reward",NA
"380",380,"blur",928,3672769,"SAcSz","block_over",NA
"381",381,"focus",928,3746273,"SAcSz","block_over",NA
"382",382,"blur",1361,4925427,"SAcSz","outcome_evaluation",NA
"383",383,"focus",1361,4932503,"SAcSz","outcome_evaluation",NA
"384",384,"blur",1401,5212053,"SAcSz","final_reward_tally",NA
"385",385,"focus",1401,5231322,"SAcSz","final_reward_tally",NA
"386",386,"blur",1401,5233917,"SAcSz","final_reward_tally",NA
"387",387,"focus",1401,5244524,"SAcSz","final_reward_tally",NA
"419",419,"fullscreenenter",0,9153,"sNyXJ","full_screen",NA
"420",420,"blur",57,153481,"sNyXJ","deliberation_instructions",NA
"421",421,"focus",57,581619,"sNyXJ","deliberation_instructions",NA
"422",422,"blur",183,866554,"sNyXJ","reward_learning_instructions",NA
"423",423,"focus",183,897571,"sNyXJ","reward_learning_instructions",NA
"424",424,"blur",333,1126121,"sNyXJ","block_over",NA
"425",425,"focus",333,1137022,"sNyXJ","block_over",NA
"426",426,"blur",407,1302948,"sNyXJ","final_decisions_instructions",NA
"427",427,"focus",407,1316012,"sNyXJ","final_decisions_instructions",NA
"428",428,"blur",843,1679941,"sNyXJ","block_over",NA
"429",429,"focus",843,1736761,"sNyXJ","block_over",NA
"430",430,"blur",922,1803043,"sNyXJ","fixation",NA
"431",431,"focus",923,1804296,"sNyXJ","final_decisions",NA
"432",432,"blur",925,1805710,"sNyXJ","fixation",NA
"433",433,"focus",926,1806642,"sNyXJ","final_decisions",NA
"434",434,"blur",928,1808504,"sNyXJ","fixation",NA
"435",435,"focus",929,1809313,"sNyXJ","final_decisions",NA
"436",436,"blur",931,1810795,"sNyXJ","fixation",NA
"437",437,"focus",932,1811930,"sNyXJ","final_decisions",NA
"438",438,"blur",934,1813192,"sNyXJ","fixation",NA
"439",439,"focus",935,1814565,"sNyXJ","final_decisions",NA
"440",440,"blur",937,1816011,"sNyXJ","fixation",NA
"441",441,"focus",938,1817033,"sNyXJ","final_decisions",NA
"442",442,"blur",940,1819047,"sNyXJ","fixation",NA
"443",443,"focus",941,1819718,"sNyXJ","final_decisions",NA
"444",444,"blur",1060,1928352,"sNyXJ","memory_test_instructions",NA
"445",445,"focus",1060,2010177,"sNyXJ","memory_test_instructions",NA
"446",446,"blur",1216,2231721,"sNyXJ","outcome_evaluation_instructions",NA
"447",447,"focus",1216,2288096,"sNyXJ","outcome_evaluation_instructions",NA
"448",448,"blur",1239,2335165,"sNyXJ","fixation",NA
"449",449,"focus",1240,2336523,"sNyXJ","outcome_evaluation",NA
"450",450,"blur",1247,2344681,"sNyXJ","fixation",NA
"451",451,"focus",1248,2346588,"sNyXJ","outcome_evaluation",NA
"452",452,"blur",1250,2349719,"sNyXJ","outcome_evaluation_confidence",NA
"453",453,"focus",1250,2352292,"sNyXJ","outcome_evaluation_confidence",NA
"454",454,"fullscreenexit",1328,2514309,"sNyXJ","final_reward_tally",NA
"455",455,"blur",1328,2520328,"sNyXJ","final_reward_tally",NA
"456",456,"focus",1328,2524382,"sNyXJ","final_reward_tally",NA
"457",457,"focus",0,0,"SZfNj","full_screen",NA
"458",458,"fullscreenenter",0,8066,"SZfNj","full_screen",NA
"459",459,"fullscreenexit",1091,1459123,"SZfNj","memory_pairs",NA
"460",460,"blur",1091,1461494,"SZfNj","memory_pairs",NA
"461",461,"focus",1091,1465376,"SZfNj","memory_pairs",NA
"462",462,"blur",1093,1467991,"SZfNj","memory_chosen_object",NA
"463",463,"focus",1093,1489284,"SZfNj","memory_chosen_object",NA
"464",464,"blur",1093,1490935,"SZfNj","memory_chosen_object",NA
"465",465,"focus",1093,1495453,"SZfNj","memory_chosen_object",NA
"466",466,"blur",1093,1500799,"SZfNj","memory_chosen_object",NA
"467",467,"focus",1093,1513827,"SZfNj","memory_chosen_object",NA
"468",468,"blur",1095,1517209,"SZfNj","fixation",NA
"469",469,"focus",1096,1523292,"SZfNj","memory_pairs",NA
"470",470,"blur",1100,1528513,"SZfNj","fixation",NA
"471",471,"focus",1101,1532829,"SZfNj","memory_pairs",NA
"472",472,"blur",1101,1533912,"SZfNj","memory_pairs",NA
"473",473,"focus",1101,1539867,"SZfNj","memory_pairs",NA
"474",474,"blur",1206,1684340,"SZfNj","final_ratings",NA
"475",475,"focus",1206,1685911,"SZfNj","final_ratings",NA
"476",476,"blur",1207,1707506,"SZfNj","final_ratings",NA
"477",477,"focus",1207,1708015,"SZfNj","final_ratings",NA
"478",478,"blur",1341,1933187,"SZfNj","final_reward_tally",NA
"479",479,"focus",1341,1939606,"SZfNj","final_reward_tally",NA
"480",480,"blur",0,0,"tMhNR","full_screen",NA
"481",481,"focus",0,0,"tMhNR","full_screen",NA
"482",482,"blur",0,0,"tMhNR","full_screen",NA
"483",483,"focus",0,0,"tMhNR","full_screen",NA
"484",484,"blur",0,0,"tMhNR","full_screen",NA
"485",485,"focus",0,28877,"tMhNR","full_screen",NA
"486",486,"blur",0,31027,"tMhNR","full_screen",NA
"487",487,"focus",0,728539,"tMhNR","full_screen",NA
"488",488,"blur",0,729805,"tMhNR","full_screen",NA
"489",489,"focus",0,794042,"tMhNR","full_screen",NA
"490",490,"blur",0,794611,"tMhNR","full_screen",NA
"491",491,"focus",0,1187555,"tMhNR","full_screen",NA
"492",492,"blur",0,1188554,"tMhNR","full_screen",NA
"493",493,"focus",0,1459760,"tMhNR","full_screen",NA
"494",494,"blur",0,1468644,"tMhNR","full_screen",NA
"495",495,"focus",0,2008604,"tMhNR","full_screen",NA
"496",496,"blur",0,2019261,"tMhNR","full_screen",NA
"497",497,"focus",0,2451675,"tMhNR","full_screen",NA
"498",498,"blur",0,2455286,"tMhNR","full_screen",NA
"499",499,"focus",0,2473679,"tMhNR","full_screen",NA
"500",500,"blur",0,2474575,"tMhNR","full_screen",NA
"501",501,"focus",0,2616489,"tMhNR","full_screen",NA
"502",502,"blur",0,2690866,"tMhNR","full_screen",NA
"503",503,"focus",0,2707032,"tMhNR","full_screen",NA
"504",504,"blur",0,2708338,"tMhNR","full_screen",NA
"505",505,"focus",0,2752111,"tMhNR","full_screen",NA
"506",506,"blur",0,2752826,"tMhNR","full_screen",NA
"507",507,"focus",0,2813749,"tMhNR","full_screen",NA
"508",508,"fullscreenenter",0,2815151,"tMhNR","full_screen",NA
"509",509,"fullscreenexit",54,3060099,"tMhNR","deliberation_instructions",NA
"510",510,"blur",54,3061117,"tMhNR","deliberation_instructions",NA
"511",511,"focus",54,4046225,"tMhNR","deliberation_instructions",NA
"512",512,"blur",180,4415817,"tMhNR","reward_learning_instructions",NA
"513",513,"focus",180,4423019,"tMhNR","reward_learning_instructions",NA
"514",514,"blur",180,4426734,"tMhNR","reward_learning_instructions",NA
"515",515,"focus",180,4534687,"tMhNR","reward_learning_instructions",NA
"516",516,"blur",481,4958199,"tMhNR","final_decisions",NA
"517",517,"focus",496,4991942,"tMhNR","final_decisions",NA
"518",518,"blur",515,5009410,"tMhNR","choice_confirmation",NA
"519",519,"focus",516,5010889,"tMhNR","fixation",NA
"520",520,"blur",945,5410307,"tMhNR","final_decisions",NA
"521",521,"focus",961,5445432,"tMhNR","respond_faster",NA
"522",522,"blur",1055,5537174,"tMhNR","memory_test_instructions",NA
"523",523,"focus",1055,6174103,"tMhNR","memory_test_instructions",NA
"524",524,"blur",1055,6180877,"tMhNR","memory_test_instructions",NA
"525",525,"focus",1055,6203619,"tMhNR","memory_test_instructions",NA
"526",526,"blur",1055,6208650,"tMhNR","memory_test_instructions",NA
"527",527,"focus",1055,8199104,"tMhNR","memory_test_instructions",NA
"528",528,"blur",1055,8201116,"tMhNR","memory_test_instructions",NA
"529",529,"focus",1055,8886876,"tMhNR","memory_test_instructions",NA
"530",530,"blur",1171,9089697,"tMhNR","start_phase",NA
"531",531,"focus",1171,9118235,"tMhNR","start_phase",NA
"537",537,"focus",0,15039,"vRFa3","full_screen",NA
"538",538,"blur",0,64837,"vRFa3","full_screen",NA
"539",539,"focus",0,73678,"vRFa3","full_screen",NA
"540",540,"blur",0,78891,"vRFa3","full_screen",NA
"541",541,"focus",0,114396,"vRFa3","full_screen",NA
"542",542,"fullscreenenter",0,115865,"vRFa3","full_screen",NA
"543",543,"fullscreenexit",1321,2381375,"vRFa3","debreif_end",NA
"550",550,"focus",0,0,"WJ2Nv","full_screen",NA
"551",551,"focus",0,0,"WJ2Nv","full_screen",NA
"552",552,"blur",0,1324,"WJ2Nv","full_screen",NA
"553",553,"focus",0,2590,"WJ2Nv","full_screen",NA
"554",554,"blur",0,6981,"WJ2Nv","full_screen",NA
"555",555,"focus",0,49525,"WJ2Nv","full_screen",NA
"556",556,"blur",0,50782,"WJ2Nv","full_screen",NA
"557",557,"focus",0,84137,"WJ2Nv","full_screen",NA
"558",558,"blur",0,88356,"WJ2Nv","full_screen",NA
"559",559,"focus",0,89423,"WJ2Nv","full_screen",NA
"560",560,"blur",0,90765,"WJ2Nv","full_screen",NA
"561",561,"focus",0,92946,"WJ2Nv","full_screen",NA
"562",562,"blur",0,94923,"WJ2Nv","full_screen",NA
"563",563,"focus",0,102970,"WJ2Nv","full_screen",NA
"564",564,"blur",0,103336,"WJ2Nv","full_screen",NA
"565",565,"focus",0,150800,"WJ2Nv","full_screen",NA
"566",566,"blur",0,153572,"WJ2Nv","full_screen",NA
"567",567,"focus",0,154209,"WJ2Nv","full_screen",NA
"568",568,"fullscreenenter",0,155085,"WJ2Nv","full_screen",NA
"569",569,"blur",0,0,"wP5Q8","full_screen",NA
"570",570,"focus",0,0,"wP5Q8","full_screen",NA
"571",571,"blur",0,0,"wP5Q8","full_screen",NA
"572",572,"focus",0,0,"wP5Q8","full_screen",NA
"573",573,"fullscreenenter",0,14124,"wP5Q8","full_screen",NA
"574",574,"blur",0,7666,"WUJ86","full_screen",NA
"575",575,"focus",0,17114,"WUJ86","full_screen",NA
"576",576,"fullscreenenter",0,19906,"WUJ86","full_screen",NA
"577",577,"fullscreenenter",0,2586,"Xcmcr","full_screen",NA
"578",578,"fullscreenexit",1,5390,"Xcmcr","rating_instructions",NA
"579",579,"blur",7,47301,"Xcmcr","rating",NA
"580",580,"focus",7,52904,"Xcmcr","rating",NA
"581",581,"blur",7,55708,"Xcmcr","rating",NA
"582",582,"focus",7,58255,"Xcmcr","rating",NA
"583",583,"blur",25,128867,"Xcmcr","rating",NA
"584",584,"focus",25,134759,"Xcmcr","rating",NA
"585",585,"blur",51,438736,"Xcmcr","rating",NA
"586",586,"focus",51,461453,"Xcmcr","rating",NA
"587",587,"blur",537,1673250,"Xcmcr","fixation",NA
"588",588,"focus",543,1688924,"Xcmcr","fixation",NA
"589",589,"blur",1250,2570208,"Xcmcr","outcome_evaluation",NA
"590",590,"focus",1250,2581631,"Xcmcr","outcome_evaluation",NA
"591",591,"blur",1338,2810284,"Xcmcr","final_reward_tally",NA
"592",592,"focus",1338,2824499,"Xcmcr","final_reward_tally",NA
"593",593,"blur",1338,2826756,"Xcmcr","final_reward_tally",NA
"594",594,"focus",1338,2831705,"Xcmcr","final_reward_tally",NA
"616",616,"fullscreenenter",0,1779,"y72qN","full_screen",NA
"617",617,"focus",0,0,"YJmUD","full_screen",NA
"618",618,"focus",0,0,"YJmUD","full_screen",NA
"619",619,"blur",0,16604,"YJmUD","full_screen",NA
"620",620,"focus",0,20424,"YJmUD","full_screen",NA
"621",621,"blur",0,22277,"YJmUD","full_screen",NA
"622",622,"focus",0,115575,"YJmUD","full_screen",NA
"623",623,"fullscreenenter",0,117275,"YJmUD","full_screen",NA
"624",624,"blur",61,1270639,"YJmUD","explain_trial",NA
"625",625,"focus",61,1273038,"YJmUD","explain_trial",NA
