"","X","PID","time_elapsed","index","block","rt","chosen_trial","gain_left","left_chosen","higher_outcome_chosen","chosen_obj","unchosen_obj","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind"
"7888",49000,"wP5Q8",2172267,111,2,0.879,1,0,0,1,17,43,43,17,70,73,"raamin-ka-0qJBEzudn5E-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",25,24
"7889",49003,"wP5Q8",2174422,112,2,0.642,1,1,1,1,31,43,31,43,53,70,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg","raamin-ka-0qJBEzudn5E-unsplash.jpg",32,25
"7890",49006,"wP5Q8",2176687,113,2,0.756,1,1,1,1,31,36,31,36,53,73,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",32,34
"7891",49009,"wP5Q8",2178907,114,2,0.708,0,0,0,1,23,27,27,23,52,72,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",27,32
"7892",49012,"wP5Q8",2180991,115,2,0.572,1,0,1,0,30,26,30,26,59,63,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",33,31
"7893",49015,"wP5Q8",2183268,116,2,0.767,0,0,1,0,13,6,13,6,56,50,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","ben-o-bro-C5XyLljkMrY-unsplash.jpg",25,24
"7894",49018,"wP5Q8",2185454,117,2,0.673,1,0,0,1,41,42,42,41,65,67,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",29,28
"7895",49021,"wP5Q8",2187646,118,2,0.683,0,1,0,0,45,5,5,45,60,47,"batel-studio-ttSRjiYG_WM-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",26,35
"7896",49024,"wP5Q8",2190247,119,2,1.089,0,1,0,0,27,8,8,27,43,52,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",31,27
"7897",49027,"wP5Q8",2192821,120,2,1.061,1,0,0,1,40,43,43,40,70,46,"raamin-ka-0qJBEzudn5E-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",25,26
"7898",49030,"wP5Q8",2194758,121,2,0.425,1,0,0,1,40,37,37,40,57,46,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",35,26
"7899",49033,"wP5Q8",2197716,122,2,1.446,0,0,0,1,8,13,13,8,56,43,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",25,31
"7900",49036,"wP5Q8",2200916,123,2,1.688,0,0,1,0,45,8,45,8,47,43,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",35,31
"7901",49039,"wP5Q8",2203174,124,2,0.748,1,1,1,1,31,42,31,42,53,65,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",32,29
"7902",49042,"wP5Q8",2205678,125,2,0.991,0,0,1,0,15,8,15,8,71,43,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",29,31
"7903",49045,"wP5Q8",2207976,126,2,0.785,1,0,0,1,26,43,43,26,70,63,"raamin-ka-0qJBEzudn5E-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",25,31
"7904",49048,"wP5Q8",2210567,127,2,1.081,0,1,0,0,27,5,5,27,60,52,"batel-studio-ttSRjiYG_WM-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",26,27
"7905",49051,"wP5Q8",2212628,128,2,0.547,0,1,0,0,15,23,23,15,72,71,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",32,29
"7906",49054,"wP5Q8",2214730,129,2,0.589,1,0,0,1,17,49,49,17,60,73,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",27,24
"7907",49057,"wP5Q8",2216930,130,2,0.687,0,0,1,0,19,5,19,5,55,60,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","batel-studio-ttSRjiYG_WM-unsplash.jpg",34,26
"7908",49060,"wP5Q8",2219194,131,2,0.752,0,1,0,0,19,9,9,19,66,55,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",30,34
"7909",49063,"wP5Q8",2221352,132,2,0.644,1,1,1,1,33,37,33,37,70,57,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",30,35
"7910",49066,"wP5Q8",2224015,133,2,1.152,1,0,0,1,40,42,42,40,65,46,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",29,26
"7911",49069,"wP5Q8",2226218,134,2,0.69,1,0,0,1,40,30,30,40,59,46,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","prince-akachi-4Yv84VgQkRM-unsplash.jpg",33,26
"7912",49072,"wP5Q8",2228735,135,2,1.004,1,1,1,1,41,30,41,30,67,59,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",28,33
"7913",49075,"wP5Q8",2230861,136,2,0.613,1,0,0,1,33,43,43,33,70,70,"raamin-ka-0qJBEzudn5E-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",25,30
"7914",49078,"wP5Q8",2233057,137,2,0.684,0,0,1,0,19,28,19,28,55,53,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",34,28
"7915",49081,"wP5Q8",2235159,138,2,0.591,1,0,0,1,33,42,42,33,65,70,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg","olena-sergienko-0TSd6uCKTKc-unsplash.jpg",29,30
