PID,practice,trial,run,task,stimulus_duration,iti,is_odd_ball,path,response,rt,version,no_response,acc
40201,0,53,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/austin-wade-X6Uj51n5CE8-unsplash.jpg,1,204,2,0,0
40201,0,54,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/linkedin-sales-solutions-pAtA8xe_iVM-unsplash.jpg,0,93,2,0,1
40201,0,55,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/pavel-anoshin-d0peGya6R5Y-unsplash.jpg,0,10,2,0,1
40201,0,56,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/jeffery-erhunse-vp9mRauo68c-unsplash.jpg,1,271,2,0,0
40201,0,57,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/aatik-tasneem-7omHUGhhmZ0-unsplash.jpg,1,37,2,0,0
40201,0,58,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg,1,211,2,0,0
40201,0,59,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/brooke-cagle-Nm70URdtf3c-unsplash (1).jpg,1,320,2,0,0
40201,0,60,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/icons8-team-6LZuSzSwso0-unsplash.jpg,1,11,2,0,0
40201,0,61,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/christina-wocintechchat-com-0Zx1bDv5BNY-unsplash.jpg,0,22,2,0,1
40201,0,62,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/juan-encalada-WC7KIHo13Fc-unsplash.jpg,1,64,2,0,0
40201,0,63,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/nick-karvounis-JyO_szjGvUw-unsplash.jpg,1,50,2,0,0
40201,0,64,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/carlos-vaz-KP4bxnxAilU-unsplash.jpg,0,165,2,0,1
40201,0,65,1,faces,400,300,1,Stimuli/Experimental_stims/localizer/faces/tyler-nix-ZGa9d1a_4tA-unsplash.jpg,0,22,2,0,0
40201,0,66,1,faces,400,14000,0,Stimuli/Experimental_stims/localizer/faces/samuel-dixon--fQ5XNOcqFQ-unsplash.jpg,0,291,2,0,1
