"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","response_ends_trial","trial_duration","scramble_acc","scramble_no_response","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","final_decisions","","html-keyboard-response","2003","3481143","0.0-5.0-259.0-0.0","NaN","67183","","null","","","","null","","257","","","4","","","","1","","0.1","11.099999999999977","","0","","","","3200","4","4","39","outdoor_scenes","objects","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","1","gain2","no_gain4","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2004","3481255","0.0-5.0-259.0-2.0-0.0","NaN","67183","","null","","","","null","","257","","","4","","","","1","","0.1","11.199999999999976","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2005","3481368","0.0-5.0-259.0-3.0","NaN","67183","","null","","","","null","","257","","","4","","","","","","0.1","11.299999999999976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2006","3481483","0.0-5.0-260.0-0.0","NaN","67183","","null","","","","null","","258","","","4","","","","1","","0.1","11.399999999999975","","0","","","","2100","4","20","38","faces","objects","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","1","gain3","no_gain3","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2007","3481604","0.0-5.0-260.0-2.0-0.0","NaN","67183","","null","","","","null","","258","","","4","","","","1","","0.1","11.499999999999975","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2008","3481718","0.0-5.0-260.0-3.0","NaN","67183","","null","","","","null","","258","","","4","","","","","","0.1","11.599999999999975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2009","3481836","0.0-5.0-261.0-0.0","NaN","67183","","null","","","","null","","259","","","4","","","","1","","0.1","11.699999999999974","","0","","","","1600","4","34","26","body_parts","body_parts","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","0","no_gain6","gain1","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2010","3481951","0.0-5.0-261.0-2.0-0.0","NaN","67183","","null","","","","null","","259","","","4","","","","1","","0.1","11.799999999999974","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2011","3482067","0.0-5.0-261.0-3.0","NaN","67183","","null","","","","null","","259","","","4","","","","","","0.1","11.899999999999974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2012","3482187","0.0-5.0-262.0-0.0","NaN","67183","","null","","","","null","","260","","","4","","","","1","","0.1","11.999999999999973","","0","","","","1700","4","43","10","objects","outdoor_scenes","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","0","no_gain2","gain3","","","","","","","","","","","","","","",""
