"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","response_ends_trial","trial_duration","scramble_acc","scramble_no_response","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","higher_outcome_chosen","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","iti_final_decisions","","html-keyboard-response","1309","655295","0.0-5.0-29.0-3.0","NaN","19377","","null","","","","null","","27","","","1","","","","","","0.1","3.759000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1310","655344","0.0-5.0-30.0-0.0","NaN","19377","","45","","","","68","","28","","","1","","","","0","","0.045","3.859000000000001","","0","","","","1300","1","34","33","body_parts","body_parts","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","50","50","","","","","","1","34","body_parts","body_parts","","","","","","","","","","","chosen","1","gain6","no_gain3","1","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1311","655351","0.0-5.0-30.0-1.0-0.0","NaN","19377","","null","","","","null","","28","","","1","","","","","","0","3.904000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1312","655458","0.0-5.0-30.0-3.0","NaN","19377","","null","","","","null","","28","","","1","","","","","","0.1","3.904000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1313","655503","0.0-5.0-31.0-0.0","NaN","19377","","39","","","","68","","29","","","1","","","","0","","0.039","4.0040000000000004","","0","","","","1200","1","18","35","faces","body_parts","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","50","50","","","","","","1","18","body_parts","faces","","","","","","","","","","","unchosen","1","gain5","no_gain5","1","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1314","655511","0.0-5.0-31.0-1.0-0.0","NaN","19377","","null","","","","null","","29","","","1","","","","","","0","4.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1315","655629","0.0-5.0-31.0-3.0","NaN","19377","","null","","","","null","","29","","","1","","","","","","0.1","4.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1316","655680","0.0-5.0-32.0-0.0","NaN","19377","","46","","","","68","","30","","","1","","","","0","","0.046","4.143","","0","","","","3500","1","46","19","objects","faces","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg","50","50","","","","","","1","46","faces","objects","","","","","","","","","","","unchosen","0","no_gain6","gain3","0","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1317","655686","0.0-5.0-32.0-1.0-0.0","NaN","19377","","null","","","","null","","30","","","1","","","","","","0","4.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1318","655796","0.0-5.0-32.0-3.0","NaN","19377","","null","","","","null","","30","","","1","","","","","","0.1","4.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1319","655879","0.0-5.0-33.0-0.0","NaN","19377","","77","","","","68","","31","","","1","","","","0","","0.077","4.289","","0","","","","1800","1","16","12","faces","faces","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","50","50","","","","","","1","16","faces","faces","","","","","","","","","","","chosen","0","no_gain1","gain1","0","","","","","","","","","","","","","","",""
