"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","scramble_acc","scramble_no_response","warning"
"","scramble_prompt","","html-keyboard-response","60","43479","0.0-3.0-4.0-1.0-0.0","11","17399","11","null","","","","null","","1","","","43474","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-1500","3600","5","3639","-1500","0","1",""
"","deliberation_no_response","","html-keyboard-response","61","43584","0.0-3.0-4.0-3.0-0.0","11","17399","11","null","","","","null","","1","","","43479","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","2100","105","3644","","","","1"
"","iti","","html-keyboard-response","62","43696","0.0-3.0-4.0-4.0","11","17399","11","null","","","","null","","1","","","43584","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","2200","112","3749","100","","",""
"","deliberation","","html-keyboard-response","63","45209","0.0-3.0-6.0-0.0","11","17399","11","313","","","","68","","2","","","43696","","","","","","","","","","0","prac3","1","1500","right","scramble","3000","0","0","","","","","Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg","","","1500","2300","1513","3861","","","",""
"","scramble_prompt","","html-keyboard-response","64","45216","0.0-3.0-6.0-1.0-0.0","11","17399","11","null","","","","null","","2","","","45209","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-500","3800","7","5374","-500","0","1",""
"","deliberation_no_response","","html-keyboard-response","65","45320","0.0-3.0-6.0-3.0-0.0","11","17399","11","null","","","","null","","2","","","45216","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","3300","104","5381","","","","1"
"","iti","","html-keyboard-response","66","45430","0.0-3.0-6.0-4.0","11","17399","11","null","","","","null","","2","","","45320","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","3400","110","5485","100","","",""
"","deliberation","","html-keyboard-response","67","45541","0.0-3.0-8.0-0.0","11","17399","11","109","","","","68","","3","","","45430","1","","","","","","","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","0","prac4","1","0","","original","2000","0","0","","","","","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","","","109","3500","111","5595","","","",""
"","deliberation_confirmation","","html-keyboard-response","68","46442","0.0-3.0-8.0-2.0-0.0","11","17399","11","null","","","","null","","3","","","45541","","","","","","","","","","","","","","","","","0","","","","","","","","","","891","3609","901","5706","891","","",""
"","iti","","html-keyboard-response","69","46553","0.0-3.0-8.0-4.0","11","17399","11","null","","","","null","","3","","","46442","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","4500","111","6607","100","","",""
"","practice_over","","html-keyboard-response","70","46664","0.0-3.0-8.0-5.0-0.0","11","17399","11","109","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_run","","html-keyboard-response","71","50444","0.0-3.0-8.0-5.0-1.0","11","17399","11","3777","","","","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","72","51753","0.0-3.0-10.0-0.0","11","17399","11","1096","","","","68","","4","","","50444","","","","","","","","","","0","D","0","1300","right","scramble","3300","1","1","42","21","objects","faces","Stimuli/Experimental_stims/scramble/objects/scrambled_jess-bailey-nOeVi8DsN8U-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_leilani-angel-K84vnnzxmTQ-unsplash.jpg","NaN","NaN","1300","0","1309","0","","","",""
"","scramble_prompt","","html-keyboard-response","73","51758","0.0-3.0-10.0-1.0-0.0","11","17399","11","null","","","","null","","4","","","51753","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-300","1300","5","1309","-300","0","1",""
"","deliberation_no_response","","html-keyboard-response","74","51864","0.0-3.0-10.0-3.0-0.0","11","17399","11","null","","","","null","","4","","","51758","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","1000","106","1314","","","","1"
"","iti","","html-keyboard-response","75","51980","0.0-3.0-10.0-4.0","11","17399","11","null","","","","null","","4","","","51864","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","1100","116","1420","100","","",""
"","deliberation","","html-keyboard-response","76","53488","0.0-3.0-12.0-0.0","11","17399","11","282","","","","68","","5","","","51980","","","","","","","","","","0","B","0","1500","right","scramble","1100","1","1","8","22","outdoor_scenes","faces","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_samsommer-vddccTqwal8-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_ravi-patel-VMGAbeeJTKo-unsplash.jpg","NaN","NaN","1500","1200","1508","1536","","","",""
"","scramble_prompt","","html-keyboard-response","77","53496","0.0-3.0-12.0-1.0-0.0","11","17399","11","null","","","","null","","5","","","53488","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-500","2700","8","3044","-500","0","1",""
"","deliberation_no_response","","html-keyboard-response","78","53599","0.0-3.0-12.0-3.0-0.0","11","17399","11","null","","","","null","","5","","","53496","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","2200","103","3052","","","","1"
"","iti","","html-keyboard-response","79","53704","0.0-3.0-12.0-4.0","11","17399","11","null","","","","null","","5","","","53599","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","2300","105","3155","100","","",""
"","deliberation","","html-keyboard-response","80","54278","0.0-3.0-14.0-0.0","11","17399","11","569","","","","68","","6","","","53704","1","1","37","outdoor_scenes","objects","50","50","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","0","A","0","0","","original","1800","1","1","1","37","outdoor_scenes","objects","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","50","50","569","2400","574","3260","","","",""
"","deliberation_confirmation","","html-keyboard-response","81","54724","0.0-3.0-14.0-2.0-0.0","11","17399","11","null","","","","null","","6","","","54278","","","","","","","","","","","","","","","","","1","","","","","","","","","","431","2969","446","3834","431","","",""
"","iti","","html-keyboard-response","82","54832","0.0-3.0-14.0-4.0","11","17399","11","null","","","","null","","6","","","54724","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","3400","108","4280","100","","",""
"","deliberation","","html-keyboard-response","83","55842","0.0-3.0-16.0-0.0","11","17399","11","null","","","","null","","7","","","54832","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","E","0","0","","original","1500","1","1","41","24","objects","body_parts","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","50","50","1000","3500","1010","4388","","","",""
"","deliberation_no_response","","html-keyboard-response","84","55956","0.0-3.0-16.0-3.0-0.0","11","17399","11","null","","","","null","","7","","","55842","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","4500","114","5398","","","","1"
"","iti","","html-keyboard-response","85","56069","0.0-3.0-16.0-4.0","11","17399","11","null","","","","null","","7","","","55956","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","4600","113","5512","100","","",""
"","deliberation","","html-keyboard-response","86","57872","0.0-3.0-18.0-0.0","11","17399","11","1217","","","","68","","8","","","56069","","","","","","","","","","0","K","0","1800","left","scramble","2200","1","1","26","43","body_parts","objects","Stimuli/Experimental_stims/scramble/body_parts/scrambled_engin-akyurt-x_3gyC42btc-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","NaN","NaN","1800","4700","1803","5625","","","",""
"","scramble_prompt","","html-keyboard-response","87","57880","0.0-3.0-18.0-1.0-0.0","11","17399","11","null","","","","null","","8","","","57872","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","1","","","","","","","","","","-800","6500","8","7428","-800","0","1",""
"","deliberation_no_response","","html-keyboard-response","88","57995","0.0-3.0-18.0-3.0-0.0","11","17399","11","null","","","","null","","8","","","57880","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","5700","115","7436","","","","1"
"","iti","","html-keyboard-response","89","58106","0.0-3.0-18.0-4.0","11","17399","11","null","","","","null","","8","","","57995","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","5800","111","7551","100","","",""
"","deliberation","","html-keyboard-response","90","59117","0.0-3.0-20.0-0.0","11","17399","11","null","","","","null","","9","","","58106","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","J","0","0","","original","2400","1","1","15","36","faces","objects","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","50","50","1000","5900","1011","7662","","","",""
"","deliberation_no_response","","html-keyboard-response","91","59224","0.0-3.0-20.0-3.0-0.0","11","17399","11","null","","","","null","","9","","","59117","","","","","","","","","","1","","","","","","","1","","","","","","","","","","100","6900","107","8673","","","","1"
"","iti","","html-keyboard-response","92","59338","0.0-3.0-20.0-4.0","11","17399","11","null","","","","null","","9","","","59224","","","","","","","","","","","","","","","","","1","","","","","","","","","","100","7000","114","8780","100","","",""
