"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","scramble_acc","missed_checkup","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally"
"","iti_localizer","","html-keyboard-response","215","278130","0.0-2.0-68.0-1.0","33","97001","female","null","","","","null","","66","","","277823","1","","","","","","300","83500","307","84233","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","216","278536","0.0-2.0-69.0-0.0","33","97001","female","46","","","","75","1","67","","Stimuli/Experimental_stims/localizer/body_parts/nick-page-WTNmgJtwzGI-unsplash.jpg","278130","1","body_parts","","0","0","0","400","83800","406","84540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","217","278841","0.0-2.0-69.0-1.0","33","97001","female","null","","","","null","","67","","","278536","1","","","","","","300","84200","305","84946","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","218","279247","0.0-2.0-70.0-0.0","33","97001","female","311","","","","68","0","68","","Stimuli/Experimental_stims/localizer/body_parts/sina-rezakhani-d1gQi0Jl05U-unsplash (1).jpg","278841","1","body_parts","","0","0","1","400","84500","406","85251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","219","279554","0.0-2.0-70.0-1.0","33","97001","female","null","","","","null","","68","","","279247","1","","","","","","300","84900","307","85657","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","220","279959","0.0-2.0-71.0-0.0","33","97001","female","238","","","","68","0","69","","Stimuli/Experimental_stims/localizer/body_parts/meghan-thompson-U1b8OB0QpIo-unsplash.jpg","279554","1","body_parts","","0","0","1","400","85200","405","85964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","221","280265","0.0-2.0-71.0-1.0","33","97001","female","null","","","","null","","69","","","279959","1","","","","","","300","85600","306","86369","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","222","280670","0.0-2.0-72.0-0.0","33","97001","female","111","","","","68","0","70","","Stimuli/Experimental_stims/localizer/body_parts/davidcohen-qghuLqyh3nE-unsplash.jpg","280265","1","body_parts","","0","0","1","400","85900","405","86675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","223","280975","0.0-2.0-72.0-1.0","33","97001","female","null","","","","null","","70","","","280670","1","","","","","","300","86300","305","87080","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","224","281380","0.0-2.0-73.0-0.0","33","97001","female","74","","","","68","0","71","","Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-QyzlAZjm0r0-unsplash.jpg","280975","1","body_parts","","0","0","1","400","86600","405","87385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","225","281686","0.0-2.0-73.0-1.0","33","97001","female","null","","","","null","","71","","","281380","1","","","","","","300","87000","306","87790","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","226","282092","0.0-2.0-74.0-0.0","33","97001","female","NaN","","","","null","NaN","72","","Stimuli/Experimental_stims/localizer/body_parts/juja-han-Z8-6EI2tYtw-unsplash.jpg","281686","1","body_parts","","0","1","0","400","87300","406","88096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
