"PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path"
NA,63,"I","original",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,64,"C","scramble",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,65,"A","scramble",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3500,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,66,"J","scramble",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,67,"J","original",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,68,"I","scramble",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,69,"D","scramble",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,70,"F","scramble",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,71,"D","original",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,72,"H","original",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,73,"L","scramble",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,1400,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,74,"F","original",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,75,"A","original",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,76,"K","scramble",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,77,"D","scramble",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,78,"F","original",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,79,"F","scramble",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,80,"I","scramble",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,81,"B","scramble",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,82,"K","original",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
