"","PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path","version"
"38",NA,38,"I","original",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"39",NA,39,"J","original",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"40",NA,40,"I","scramble",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"41",NA,41,"H","original",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"42",NA,42,"H","scramble",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"43",NA,43,"C","original",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,5500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"44",NA,44,"E","scramble",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"45",NA,45,"J","scramble",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"46",NA,46,"F","original",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"47",NA,47,"D","scramble",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,6000,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"48",NA,48,"F","scramble",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"49",NA,49,"A","original",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"50",NA,50,"D","original",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"51",NA,51,"C","scramble",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"52",NA,52,"G","original",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"53",NA,53,"C","original",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"54",NA,54,"L","scramble",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,4500,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
