,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_rating,right_rating,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
163,30126,0,164,3,3,0,no_gain4,gain5,A,F,2,17,outdoor_scenes,faces,72,32,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,1,NaN,,NaN,unchosen,NaN,NaN,NaN,NaN,1700,0,3,3
164,30126,0,165,3,3,0,no_gain6,gain4,E,D,46,47,objects,objects,46,56,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,0,1,608,0,chosen,46,47,objects,objects,1800,0,3,3
165,30126,0,166,3,3,1,gain5,no_gain3,F,I,24,35,body_parts,body_parts,42,42,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,0,0,961,0,chosen,35,24,body_parts,body_parts,1500,0,3,3
166,30126,0,167,3,3,1,gain4,no_gain2,D,L,47,27,objects,body_parts,56,75,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,0,1,934,1,chosen,47,27,objects,body_parts,2700,0,3,3
167,30126,0,168,3,3,0,no_gain6,gain6,E,C,32,34,body_parts,body_parts,34,15,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,0,0,913,1,unchosen,34,32,body_parts,body_parts,3600,1,3,3
168,30126,0,169,3,3,0,no_gain2,gain6,L,C,27,0,body_parts,outdoor_scenes,75,69,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,0,0,921,1,chosen,0,27,outdoor_scenes,body_parts,2100,0,3,3
169,30126,0,170,3,3,1,gain5,no_gain6,F,E,17,32,faces,body_parts,32,34,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,0,1,860,1,unchosen,17,32,faces,body_parts,2300,0,3,3
170,30126,0,171,3,3,1,gain1,no_gain3,G,I,3,10,outdoor_scenes,outdoor_scenes,59,68,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,0,1,909,1,unchosen,3,10,outdoor_scenes,outdoor_scenes,1400,0,3,3
171,30126,0,172,3,3,1,gain3,no_gain3,B,I,12,35,faces,body_parts,61,42,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,0,0,1130,0,chosen,35,12,body_parts,faces,1200,0,3,3
172,30126,0,173,3,3,1,gain2,no_gain6,K,E,26,46,body_parts,objects,41,46,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,0,843,0,chosen,46,26,objects,body_parts,1900,0,3,3
173,30126,0,174,3,3,0,no_gain2,gain4,L,D,18,22,faces,faces,43,46,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,0,0,935,1,unchosen,22,18,faces,faces,1800,0,3,3
174,30126,0,175,3,3,1,gain6,no_gain6,C,E,0,46,outdoor_scenes,objects,69,46,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,1,767,1,chosen,0,46,outdoor_scenes,objects,4100,1,3,3
175,30126,0,176,3,3,0,no_gain5,gain6,J,C,43,0,objects,outdoor_scenes,82,69,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,0,1,1163,0,chosen,43,0,objects,outdoor_scenes,1400,0,3,3
