,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
27,,28,F,scramble,0,1,1,faces,body_parts,,,,,,,2200.0,1100.0,left,,0,,,,,,,,,0.0,29,4
28,,29,K,original,0,1,2,body_parts,objects,,,,,,,3200.0,,,,0,,,,,,,,,1.0,29,4
29,,30,I,original,0,1,2,body_parts,outdoor_scenes,,,,,,,2900.0,,,,0,,,,,,,,,0.0,29,4
30,,31,C,scramble,0,1,2,outdoor_scenes,body_parts,,,,,,,1300.0,1600.0,right,,0,,,,,,,,,0.0,29,4
31,,32,H,scramble,0,1,2,faces,outdoor_scenes,,,,,,,1000.0,700.0,left,,0,,,,,,,,,0.0,29,4
32,,33,E,original,0,1,2,objects,body_parts,,,,,,,1000.0,,,,0,,,,,,,,,0.0,29,4
33,,34,F,scramble,0,1,2,faces,body_parts,,,,,,,1300.0,1800.0,right,,0,,,,,,,,,0.0,29,4
34,,35,D,scramble,0,1,2,objects,faces,,,,,,,2500.0,1900.0,left,,0,,,,,,,,,0.0,29,4
35,,36,C,original,0,1,2,outdoor_scenes,body_parts,,,,,,,1700.0,,,,0,,,,,,,,,0.0,29,4
36,,37,B,scramble,0,1,2,outdoor_scenes,faces,,,,,,,3800.0,1700.0,right,,0,,,,,,,,,1.0,29,4
37,,38,A,original,0,1,2,outdoor_scenes,objects,,,,,,,2400.0,,,,0,,,,,,,,,0.0,29,4
38,,39,F,original,0,1,2,faces,body_parts,,,,,,,2000.0,,,,0,,,,,,,,,0.0,29,4
39,,40,K,scramble,0,1,2,body_parts,objects,,,,,,,1800.0,1400.0,right,,0,,,,,,,,,0.0,29,4
40,,41,L,original,0,1,2,body_parts,faces,,,,,,,1700.0,,,,0,,,,,,,,,0.0,29,4
41,,42,D,original,0,1,2,objects,faces,,,,,,,1500.0,,,,0,,,,,,,,,0.0,29,4
42,,43,A,scramble,0,1,2,outdoor_scenes,objects,,,,,,,2400.0,1200.0,left,,0,,,,,,,,,0.0,29,4
43,,44,G,original,0,1,2,objects,outdoor_scenes,,,,,,,3600.0,,,,0,,,,,,,,,1.0,29,4
