,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,long_iti,simulation,version,no_response
34,46835,0,1,2,35,2200,D,chosen,gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
35,46835,0,1,2,36,1700,C,chosen,no_gain,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
36,46835,0,1,2,37,2200,L,unchosen,gain,12,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
37,46835,0,1,2,38,1400,H,chosen,gain,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
38,46835,0,1,2,39,4100,B,chosen,gain,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,0,NaN,NaN,1,44,4,1
39,46835,0,1,2,40,1400,D,unchosen,gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
40,46835,0,1,2,41,1500,E,chosen,no_gain,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
41,46835,0,1,2,42,2400,C,unchosen,no_gain,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
42,46835,0,1,2,43,1200,I,chosen,gain,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
43,46835,0,1,2,44,1200,I,unchosen,gain,9,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
44,46835,0,1,2,45,4000,L,chosen,gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,0,NaN,NaN,1,44,4,1
45,46835,0,1,2,46,1400,E,unchosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
46,46835,0,1,2,47,2300,F,chosen,no_gain,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
47,46835,0,1,2,48,3000,H,unchosen,gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
48,46835,0,1,2,49,1900,B,unchosen,gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,0,NaN,NaN,0,44,4,1
