,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version
30,,0,1,2,31,intact,1,,K,K,4100,,,,,,,,1,20,3
31,,0,1,2,32,recombined,0,0,,I,1100,,,,,,,,0,20,3
32,,0,1,2,33,intact,1,,I,I,1000,,,,,,,,0,20,3
33,,0,1,2,34,intact,1,,H,H,1500,,,,,,,,0,20,3
34,,0,1,2,35,recombined,0,1,,G,1300,,,,,,,,0,20,3
35,,0,1,2,36,intact,1,,D,D,1300,,,,,,,,0,20,3
36,,0,1,2,37,recombined,0,0,,B,2300,,,,,,,,0,20,3
37,,0,1,2,38,recombined,0,1,,L,4000,,,,,,,,1,20,3
38,,0,1,2,39,intact,1,,A,A,1700,,,,,,,,0,20,3
39,,0,1,2,40,recombined,0,1,,K,1700,,,,,,,,0,20,3
40,,0,1,2,41,intact,1,,L,L,1200,,,,,,,,0,20,3
41,,0,1,2,42,recombined,0,1,,A,2200,,,,,,,,0,20,3
42,,0,1,2,43,recombined,0,0,,F,1400,,,,,,,,0,20,3
43,,0,1,2,44,intact,1,,F,F,2200,,,,,,,,0,20,3
44,,0,1,2,45,intact,1,,E,E,1100,,,,,,,,0,20,3
45,,0,1,2,46,recombined,0,0,,C,3000,,,,,,,,1,20,3
46,,0,1,2,47,intact,1,,G,G,2700,,,,,,,,0,20,3
47,,0,1,2,48,intact,1,,J,J,1300,,,,,,,,0,20,3
48,,0,1,2,49,recombined,0,0,,E,2600,,,,,,,,0,20,3
49,,0,1,2,50,intact,1,,C,C,1200,,,,,,,,0,20,3
50,,0,1,2,51,recombined,0,1,,D,4900,,,,,,,,1,20,3
51,,0,1,3,52,intact,1,,C,C,1500,,,,,,,,0,19,3
52,,0,1,3,53,recombined,0,0,,A,2500,,,,,,,,0,19,3
53,,0,1,3,54,intact,1,,J,J,2400,,,,,,,,0,19,3
54,,0,1,3,55,recombined,0,1,,L,2100,,,,,,,,0,19,3
55,,0,1,3,56,recombined,0,0,,F,4400,,,,,,,,1,19,3
56,,0,1,3,57,intact,1,,H,H,1000,,,,,,,,0,19,3
57,,0,1,3,58,recombined,0,0,,E,2400,,,,,,,,0,19,3
58,,0,1,3,59,intact,1,,A,A,2700,,,,,,,,0,19,3
59,,0,1,3,60,intact,1,,B,B,1300,,,,,,,,0,19,3
60,,0,1,3,61,recombined,0,1,,I,4400,,,,,,,,1,19,3
61,,0,1,3,62,recombined,0,1,,H,1100,,,,,,,,0,19,3
62,,0,1,3,63,intact,1,,L,L,2100,,,,,,,,0,19,3
63,,0,1,3,64,recombined,0,1,,B,1600,,,,,,,,0,19,3
64,,0,1,3,65,intact,1,,D,D,2000,,,,,,,,0,19,3
65,,0,1,3,66,intact,1,,F,F,4200,,,,,,,,1,19,3
66,,0,1,3,67,recombined,0,0,,K,1500,,,,,,,,0,19,3
67,,0,1,3,68,intact,1,,I,I,2500,,,,,,,,0,19,3
68,,0,1,3,69,recombined,0,1,,D,2600,,,,,,,,0,19,3
69,,0,1,3,70,intact,1,,K,K,1500,,,,,,,,0,19,3
70,,0,1,3,71,recombined,0,1,,J,1900,,,,,,,,0,19,3
71,,0,1,3,72,recombined,0,0,,C,2900,,,,,,,,1,19,3
72,,0,1,3,73,intact,1,,E,E,1000,,,,,,,,0,19,3
73,,0,1,3,74,intact,1,,G,G,2600,,,,,,,,0,19,3
74,,0,1,3,75,recombined,0,0,,G,1600,,,,,,,,0,19,3
75,,0,1,4,76,recombined,0,1,,D,1500,,,,,,,,0,19,3
76,,0,1,4,77,intact,1,,I,I,3300,,,,,,,,1,19,3
77,,0,1,4,78,recombined,0,0,,L,1200,,,,,,,,0,19,3
78,,0,1,4,79,recombined,0,1,,G,1700,,,,,,,,0,19,3
79,,0,1,4,80,intact,1,,H,H,1300,,,,,,,,0,19,3
80,,0,1,4,81,recombined,0,1,,E,1000,,,,,,,,0,19,3
81,,0,1,4,82,intact,1,,F,F,1200,,,,,,,,0,19,3
82,,0,1,4,83,recombined,0,0,,F,1200,,,,,,,,0,19,3
83,,0,1,4,84,recombined,0,1,,B,1600,,,,,,,,0,19,3
84,,0,1,4,85,intact,1,,B,B,1000,,,,,,,,0,19,3
85,,0,1,4,86,intact,1,,L,L,2300,,,,,,,,0,19,3
86,,0,1,4,87,recombined,0,0,,A,1400,,,,,,,,0,19,3
87,,0,1,4,88,intact,1,,K,K,1100,,,,,,,,0,19,3
88,,0,1,4,89,intact,1,,A,A,1600,,,,,,,,0,19,3
89,,0,1,4,90,recombined,0,0,,K,2600,,,,,,,,0,19,3
90,,0,1,4,91,intact,1,,D,D,1700,,,,,,,,0,19,3
91,,0,1,4,92,recombined,0,0,,I,2900,,,,,,,,1,19,3
92,,0,1,4,93,intact,1,,C,C,1600,,,,,,,,0,19,3
93,,0,1,4,94,recombined,0,1,,J,1300,,,,,,,,0,19,3
94,,0,1,4,95,intact,1,,E,E,1200,,,,,,,,0,19,3
95,,0,1,4,96,recombined,0,1,,H,1400,,,,,,,,0,19,3
96,,0,1,4,97,recombined,0,0,,C,1400,,,,,,,,0,19,3
97,,0,1,4,98,intact,1,,J,J,2700,,,,,,,,0,19,3
98,,0,1,4,99,intact,1,,G,G,4000,,,,,,,,1,19,3
