,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
16,47210,0,1,1,17,recombined,0,0,,E,2600,8,31,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,0,1,NaN,0,20,3,outdoor_scenes,body_parts,960,0
17,47210,0,1,1,18,intact,1,1,L,L,1800,35,16,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,0,NaN,0,20,3,body_parts,faces,,1
18,47210,0,1,1,19,intact,1,1,K,K,1100,25,46,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,1,1,NaN,0,20,3,body_parts,objects,1372,0
19,47210,0,1,1,20,recombined,0,1,,L,3100,35,5,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,1,0,NaN,1,20,3,body_parts,outdoor_scenes,1111,0
20,47210,0,1,1,21,recombined,0,0,,I,2700,46,24,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,0,1,NaN,0,20,3,objects,body_parts,1269,0
21,47210,0,1,1,22,intact,1,1,B,B,1400,11,23,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,1,1,NaN,0,20,3,outdoor_scenes,faces,1071,0
22,47210,0,1,1,23,recombined,0,0,,C,1000,1,30,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,1,0,NaN,0,20,3,outdoor_scenes,body_parts,935,0
23,47210,0,1,1,24,recombined,0,0,,H,1000,13,0,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,1,0,NaN,0,20,3,faces,outdoor_scenes,1195,0
24,47210,0,1,1,25,intact,1,0,A,A,1600,1,41,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,0,0,NaN,0,20,3,outdoor_scenes,objects,1174,0
25,47210,0,1,1,26,recombined,0,1,,D,3300,36,16,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,1,0,NaN,1,20,3,objects,faces,1322,0
