,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
10,71512,0,1,1,11,recombined,0,0,,B,1500,29,11,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,0,NaN,0,2,1,body_parts,outdoor_scenes,,1
11,71512,0,1,1,12,recombined,0,1,,F,1400,23,47,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,NaN,0,NaN,0,2,1,faces,objects,,1
12,71512,0,1,1,13,intact,1,1,B,B,2200,11,22,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,NaN,0,NaN,0,2,1,outdoor_scenes,faces,,1
13,71512,0,1,1,14,recombined,0,1,,K,3200,26,8,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,0,1,NaN,1,2,1,body_parts,outdoor_scenes,69,0
14,71512,0,1,1,15,intact,1,1,I,I,1300,35,4,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,0,0,NaN,0,2,1,body_parts,outdoor_scenes,1,0
15,71512,0,1,1,16,recombined,0,0,,H,2700,44,15,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,0,1,NaN,0,2,1,objects,faces,78,0
16,71512,0,1,1,17,recombined,0,0,,G,1100,22,40,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,0,1,NaN,0,2,1,faces,objects,1,0
17,71512,0,1,1,18,intact,1,1,H,H,2700,15,8,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,0,0,NaN,0,2,1,faces,outdoor_scenes,68,0
18,71512,0,1,1,19,recombined,0,1,,J,2500,14,39,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,0,NaN,0,2,1,faces,objects,,1
19,71512,0,1,1,20,recombined,0,1,,L,1700,31,4,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,NaN,0,NaN,0,2,1,body_parts,outdoor_scenes,,1
