,corr,simulation,version,run
67,-0.27780981753321304,8,4,1
68,-0.2190173926080033,9,4,1
69,-0.10595689661657304,10,4,1
70,-0.1195450862082979,11,4,1
71,-0.06505127994155571,12,4,1
72,-0.1769217896595097,13,4,1
73,-0.22138422076741196,14,4,1
74,-0.07063137156317861,15,4,1
75,-0.17884719668493193,16,4,1
76,-0.17761856954814156,17,4,1
77,-0.19884227924500747,18,4,1
78,-0.11777717353958259,19,4,1
79,-0.17498724898666035,20,4,1
80,-0.1717336642518912,1,1,2
81,-0.14347578213878504,2,1,2
82,-0.24152403707163866,3,1,2
83,-0.08052868559757503,4,1,2
84,-0.18279451785231685,5,1,2
85,-0.12291979411990601,6,1,2
86,-0.021141291393252333,7,1,2
87,-0.17925870371504785,8,1,2
88,-0.22568888440513693,9,1,2
89,-0.13999761779858505,10,1,2
90,-0.20613938857876396,11,1,2
91,-0.20655724414687446,12,1,2
92,-0.20390889964836934,13,1,2
93,-0.1863181890410925,14,1,2
94,-0.12319051993238153,15,1,2
95,-0.21946089752722608,16,1,2
96,-0.1675207955560796,17,1,2
97,-0.13191261898329326,18,1,2
98,-0.08221833007272226,19,1,2
99,-0.08869736398679165,20,1,2
100,-0.1486154979027567,1,2,2
101,-0.26346136998071523,2,2,2
102,-0.12665231750663392,3,2,2
103,-0.21120626035231824,4,2,2
104,-0.24099757438820127,5,2,2
105,-0.1484257279689868,6,2,2
106,-0.2562994702370039,7,2,2
107,-0.2503071421257247,8,2,2
108,-0.06117226313596376,9,2,2
109,-0.14472050425614005,10,2,2
110,-0.20682422855276397,11,2,2
111,-0.13425719835211009,12,2,2
112,-0.2797156094821091,13,2,2
113,-0.20835207904738257,14,2,2
114,-0.14022136251705203,15,2,2
115,-0.15714600685802899,16,2,2
116,-0.1810462568720522,17,2,2
117,-0.16320412561194098,18,2,2
118,-0.22953255780155307,19,2,2
119,-0.12515521069194924,20,2,2
120,-0.07976946909840388,1,3,2
121,-0.24781128115981207,2,3,2
122,-0.19773088950459067,3,3,2
123,-0.2568438562573439,4,3,2
124,-0.15508909317454178,5,3,2
125,-0.22716269774329137,6,3,2
126,-0.17428180559975187,7,3,2
127,-0.12552517237830965,8,3,2
128,-0.15245693285071624,9,3,2
129,-0.13193453409322609,10,3,2
130,-0.23172736665057164,11,3,2
131,-0.2512324592056834,12,3,2
132,-0.15513136360469784,13,3,2
133,-0.2561763722622305,14,3,2
134,-0.1520904055555705,15,3,2
135,-0.05460044821488165,16,3,2
136,-0.2194092365651165,17,3,2
137,-0.13043427194037893,18,3,2
138,-0.12252166989235334,19,3,2
139,-0.15968051968078095,20,3,2
140,-0.19420002789659854,1,4,2
141,-0.1266285194589692,2,4,2
142,-0.24168912822609342,3,4,2
143,-0.10359936485926356,4,4,2
144,0.05054866817951326,5,4,2
145,-0.12546868185138277,6,4,2
146,-0.14073280660273552,7,4,2
147,-0.14499196469226514,8,4,2
148,-0.18790769100283689,9,4,2
149,-0.24161245044268762,10,4,2
150,-0.10098445452886547,11,4,2
151,-0.05920384004554914,12,4,2
152,-0.14445986381348455,13,4,2
153,-0.10726269823537028,14,4,2
154,-0.0803010855096277,15,4,2
155,-0.09525946778364994,16,4,2
156,-0.0872376728420025,17,4,2
157,-0.16302284382686313,18,4,2
158,-0.1520534497399994,19,4,2
159,-0.13719824028854266,20,4,2
