,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run,.5*recombined + .5*intact,recombined - intact
69,1.5311189736339883,2.396538283543434,1.518158522995594,2.4080699727894768,,,20,2,1,1.0368462878797573,1.0018416188583155
70,1.6286702519241578,3.6819751843509887,1.8028976352160269,3.5019673377698215,,,21,2,1,1.2265454279218444,1.083142823894658
71,1.5798071895107362,2.511896434136364,1.6266633468966172,2.469397703188815,1.0418193273890501,1.015079609284647,22,2,1,,
72,1.6166450747086016,2.37510019692827,1.492195833469975,2.492021642057401,,,23,2,1,1.19231586654769,1.0816677701411594
73,1.6299637746435052,2.2684793358269797,1.6698245396296818,2.23559431619714,,,24,2,1,1.0294764652822117,1.049178260884478
74,1.1435289327767106,2.416423908202543,1.1655108472002687,2.3969969559850903,1.0422687442323673,1.030325414344215,25,2,1,,
75,1.955872844724592,3.3843839556220505,2.0589842580518787,3.288541383794269,1.0855929556682624,1.1510855939468063,26,2,1,,
76,1.753555490921234,2.9724289066497525,1.7621200827467487,2.952672944399073,,,27,2,1,1.0546922138636041,1.0121321000487398
77,1.5307782295780177,2.8762484543634037,1.6165659519756348,2.796838079979722,,,28,2,1,1.1786446927862426,1.0463016492401922
78,1.833361558413279,2.5248652746855234,1.7250198015312592,2.6276346649373457,,,29,2,1,1.0711784156906412,1.1567957891324152
79,1.5323370966079932,3.0546617968840306,1.5094781196918197,3.0747665961365938,,,30,2,1,1.053726008011129,1.0227770260812383
80,1.49058433272411,2.2829358879931534,1.578227640929955,2.2064901495594715,1.07105416001092,1.0938673430510197,31,2,1,,
81,1.5691449571382605,2.442081033629151,1.5355047038427905,2.4710620561689525,,,32,2,1,1.0418301083557318,1.0070526474262
82,1.2952726711266853,2.654466694525606,1.3422802233600928,2.6158500478408575,1.0823790180409434,1.0135599935979842,33,2,1,,
83,1.5575286022058985,2.614074491340007,1.5543054327332047,2.622152158131696,1.0272974836355437,1.0479358923793756,34,2,1,,
84,1.5262813020471622,3.354949399878016,1.6052790306637363,3.2906199605518407,,,35,2,1,1.0683417638922517,1.027099427155389
85,1.4569950915068515,2.6861047097885375,1.3349466713753477,2.7945701752855476,,,36,2,1,1.1746008549919256,1.0911820507386003
86,1.9081450423434534,3.7740406535745543,1.8695186019615824,3.8446337199308775,,,37,2,1,1.0430591180593358,1.0302491574619712
87,1.8088228481912147,3.482275777200007,1.6705773784553983,3.6289368021530106,1.1672527681857532,1.0560941238852002,38,2,1,,
88,1.6383192028756597,2.972441800592531,1.6175646978049258,2.983029173762479,1.052999547458302,1.0745860399682416,39,2,1,,
89,1.859878026612209,2.9322211729437053,1.98327700207223,2.8254367058350396,,,40,2,1,1.0877858184637479,1.1806771438206625
90,1.345224289179523,2.3889899185867556,1.3457376027557149,2.3865679009261784,1.0514685706448494,1.017401594503691,41,2,1,,
91,1.6862082362141626,2.876848361178081,1.576983880743269,2.9736978485959784,1.0770359961754141,1.0748420978233406,42,2,1,,
92,1.4788194447191576,3.208564599905331,1.392034826033297,3.2784975096601867,,,43,2,1,1.0745744746139152,1.054591582223669
93,1.7516016203945435,2.753298363655511,1.8443830437245647,2.6480082740810515,,,44,2,1,1.0781200821620158,1.0352088013452285
