,original,original_derivative,scramble,scramble_derivative,.5*original + .5*scramble,original - scramble,simulation,version,run,.5*scramble + .5*original,scramble - original
35,3.054715196657914,3.4365407862172854,3.0489545430110248,3.4327025804189257,,,36,1,1,1.0414895342983637,1.0042193299481585
36,3.040732916881683,3.424470912806054,3.0572303758366326,3.4153325944907076,,,37,1,1,1.115432727164553,1.0019705708135749
37,4.083581119837924,3.6011120715558693,4.0130846132437785,3.682536714479029,,,38,1,1,1.0461763403180298,1.0289575710513716
38,2.526955057672806,3.1867195069827496,2.509105181855962,3.2144022342550955,,,39,1,1,1.067396398310462,1.0419252727196073
39,2.907072692721241,3.240245257310494,2.8799505725597876,3.2660195463679194,,,40,1,1,1.0306026594539066,1.004373002153118
40,2.957747686770747,3.0317745418338364,2.8684730350826793,3.121294532231644,,,1,2,1,1.084391105023198,1.0670402946976942
41,3.0698353130066853,3.2283910397832463,3.1151590879410875,3.1961844775545414,1.2885123161093692,1.0127537744138115,2,2,1,,
42,3.8074503828369854,3.7786609046900974,3.843705059670766,3.7304665747316297,,,3,2,1,1.0289853002692582,1.0034519580033643
43,3.658415852779738,3.193332435359038,3.601651790936975,3.2375171241817204,1.1258857107310152,1.028518292424023,4,2,1,,
44,2.2752574975319098,2.9038376487173547,2.3247331076075226,2.861269903718787,1.042961744797557,1.0249047254246724,5,2,1,,
45,4.321440362604655,3.532917336699651,4.164436954776234,3.6674122247500156,1.1187069946014037,1.0531267661991186,6,2,1,,
46,3.5052865021121433,3.4917877906970283,3.5735931569868318,3.4430318766485697,,,7,2,1,1.0382006558256949,1.013725024546153
47,2.856701687543853,3.484001658912463,2.8205832159850988,3.520781406331344,,,8,2,1,1.2812097060233796,1.027528828841527
48,3.0345250942402675,3.4048085609358014,3.033356743049521,3.40185782571842,,,9,2,1,1.0444106979060614,1.0002179210648563
49,2.688498099265761,2.911424885603525,2.6751060853945074,2.932235384563163,1.033845224923956,1.0043375362132407,10,2,1,,
50,2.8780900094798003,3.0215907261537454,2.794930696319214,3.099446541379514,,,11,2,1,1.0567464434772589,1.0515703795037286
51,2.9051523841480114,3.453188003391266,2.94914322763199,3.4029290883237264,,,12,2,1,1.0517545495287854,1.0082875058551817
52,3.2362326447512237,3.398461306220125,3.167308285177869,3.470702417212969,,,13,2,1,1.2710479517150157,1.0775320059946218
53,2.591376239697903,3.407896878805889,2.8058147919029848,3.205357131474999,,,14,2,1,1.1493338831367692,1.1587342609500355
54,2.9085664146949517,3.075800072042123,2.8923584170388823,3.1027354131144267,1.0207047138708025,1.0134686015596734,15,2,1,,
55,3.3411795185653608,3.486721941250948,3.424029635361978,3.4164395946351047,,,16,2,1,1.072679536884443,1.0285978603855208
56,2.9741820544736957,3.3589444717565065,2.8788976148333587,3.4545770884670377,1.1502340000540425,1.0588067815205497,17,2,1,,
57,3.592714118170419,3.150831569584174,3.5156250250710785,3.216953966191713,,,18,2,1,1.0733429926935127,1.0311603706163284
58,2.9948310391169417,2.9005739597066977,2.8460540374748717,3.0644435646652077,1.2648252455411502,1.096222267844053,19,2,1,,
59,3.53662120951127,3.5356644478785086,3.5913991044141538,3.4611566624460712,1.0640664487391696,1.011200427732918,20,2,1,,
60,3.7055421499658046,3.643049499910727,3.6794482431915947,3.6669145611737384,,,21,2,1,1.0355081237401567,1.003566306975646
61,3.6456397680139156,4.232514646018966,3.7762496828346377,4.128819942142323,1.1538477485418757,1.039599162559492,22,2,1,,
62,4.115031625134435,3.4636084883539437,4.066432694236416,3.5047350893655547,,,23,2,1,1.0429915692986635,1.0161084043247408
63,3.2476602594212465,3.7035590364790756,3.1751193742940225,3.78480224714639,,,24,2,1,1.041831564729951,1.0192561632656854
64,2.9973859170365795,3.004617051308081,2.9734861156474204,3.022796120227275,1.023885954495864,1.0151131634756725,25,2,1,,
65,3.1952120507982484,3.3274226047231745,3.1950364572255427,3.3332091325848308,,,26,2,1,1.0300593766147292,1.0422369177559425
66,3.543738407774702,3.055787579330262,3.493485331856493,3.1130124196865157,,,27,2,1,1.0318508534047166,1.0119504255319745
67,2.303532834914192,2.6600167442087534,2.283348300502938,2.669924479651874,,,28,2,1,1.025136066246569,1.031433595695602
68,3.042820011821686,3.1072914057392658,3.037580000453189,3.1013229026756752,,,29,2,1,1.0382494701207006,1.0033089582353532
69,3.3077356019284876,3.145490039696511,3.2858981890814887,3.1651755440831284,,,30,2,1,1.0205546845279125,1.013598636473917
70,4.406473707031193,4.04609211894133,4.327563140885311,4.1447002558042705,,,31,2,1,1.0801983908089028,1.0148753625960907
71,2.9665872332284824,2.8749436129595156,2.910166956649067,2.934188922656528,1.0414026352316315,1.0309734119935798,32,2,1,,
72,3.7831920216058306,3.686139459566144,3.8018578908886,3.667461337206351,1.038528349142458,1.0017259220036143,33,2,1,,
73,3.16438453340402,3.8689064318942994,3.1864773991804136,3.858678863802581,,,34,2,1,1.0894670101047448,1.038505260772682
74,3.6766697661471897,3.3692059072922023,3.6103028960353996,3.418129253511751,,,35,2,1,1.0330261586580245,1.0186063954144886
75,3.1017336443708823,3.3335224772876035,3.1215571098544577,3.3040416599501183,1.0771780685983048,1.001832374567842,36,2,1,,
76,3.2852992100191023,3.3991872008270008,3.3078913816893167,3.3727168605765208,1.0802773790798426,1.0078843045896775,37,2,1,,
77,2.557663992929594,2.816580042635063,2.528816659865805,2.841887767050852,1.0288243876358667,1.0088119560193154,38,2,1,,
78,3.2696111688437086,3.5271668715453734,3.3424519798646806,3.450970634298113,1.05742405307356,1.0427933074097366,39,2,1,,
79,3.1912130600728434,3.648395019506202,3.1959171351564017,3.6405812635229893,1.0432776020706078,1.0005441329693052,40,2,1,,
80,2.977247280976423,3.145539469798882,2.9945330672164774,3.1188272138154676,1.0378061842396091,1.0026291875068132,1,3,1,,
81,2.9790345371722147,3.122125334863515,2.939283430245359,3.147955179980712,,,2,3,1,1.030992117824157,1.037131841452975
