"","PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version","no_response","acc"
"70",21859,0,70,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/alexis-chloe-TYDkKEgc0Fg-unsplash.jpg",1,92,4,0,0
"71",21859,0,71,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/aiony-haust-K0DxxljcRv0-unsplash.jpg",0,4,4,0,0
"72",21859,0,72,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg",0,4,4,0,1
"73",21859,0,73,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/aatik-tasneem-7omHUGhhmZ0-unsplash.jpg",0,154,4,0,1
"74",21859,0,74,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/tyler-nix-ZGa9d1a_4tA-unsplash.jpg",0,13,4,0,1
"75",21859,0,75,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/imansyah-muhamad-putera-n4KewLKFOZw-unsplash.jpg",1,32,4,0,0
"76",21859,0,76,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/philip-martin-5aGUyCW_PJw-unsplash.jpg",1,77,4,0,0
"77",21859,0,77,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/vince-fleming-j3lf-Jn6deo-unsplash.jpg",1,279,4,0,0
"78",21859,0,78,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/hassan-khan-EGVccebWodM-unsplash.jpg",1,81,4,0,0
"79",21859,0,79,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/toa-heftiba-O3ymvT7Wf9U-unsplash.jpg",1,18,4,0,0
"80",21859,0,80,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/jurica-koletic-7YVZYZeITc8-unsplash.jpg",0,95,4,0,1
"81",21859,0,81,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/rui-silvestre-hAMJpesMeDE-unsplash.jpg",0,145,4,0,1
"82",21859,0,82,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/ben-scott-tWb7IsL9CnY-unsplash.jpg",1,251,4,0,1
"83",21859,0,83,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/mathias-huysmans-U4JDjYmjn1g-unsplash.jpg",1,137,4,0,0
