"","X","PID","practice","run","block","trial","pair_type","old_pair","chosen_left","pair_id","chosen_id","iti","left_stimulus","right_stimulus","left_path","right_path","old_response","pair_acc","pair_rt","long_iti","simulation","version","left_category","right_category"
"15",14,21859,0,1,1,15,"recombined",0,1,"","A",2400,6,32,"Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","body_parts"
"16",15,21859,0,1,1,16,"intact",1,1,"B","B",1400,1,14,"Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","faces"
"17",16,21859,0,1,1,17,"recombined",0,1,"","J",1300,47,18,"Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg",NA,NA,NA,0,30,4,"objects","faces"
"18",17,21859,0,1,1,18,"recombined",0,0,"","I",1900,3,27,"Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","body_parts"
"19",18,21859,0,1,1,19,"intact",1,1,"F","F",3800,20,25,"Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg",NA,NA,NA,1,30,4,"faces","body_parts"
"20",19,21859,0,1,1,20,"recombined",0,0,"","E",2100,22,36,"Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg",NA,NA,NA,0,30,4,"faces","objects"
"21",20,21859,0,1,1,21,"intact",1,1,"L","L",1600,33,13,"Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","faces"
"22",21,21859,0,1,1,22,"recombined",0,1,"","K",2000,24,4,"Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","outdoor_scenes"
"23",22,21859,0,1,1,23,"intact",1,0,"C","C",1200,4,30,"Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","body_parts"
"24",23,21859,0,1,1,24,"recombined",0,0,"","B",1300,25,1,"Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","outdoor_scenes"
"25",24,21859,0,1,1,25,"intact",1,1,"E","E",1200,36,32,"Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg",NA,NA,NA,0,30,4,"objects","body_parts"
