"","X","PID","practice","run","block","trial","pair_type","old_pair","chosen_left","pair_id","chosen_id","iti","left_stimulus","right_stimulus","left_path","right_path","old_response","pair_acc","pair_rt","long_iti","simulation","version","left_category","right_category"
"86",85,21859,0,1,4,86,"recombined",0,1,"","H",2000,11,13,"Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",NA,NA,NA,0,37,4,"outdoor_scenes","faces"
"87",86,21859,0,1,4,87,"intact",1,1,"B","B",2200,1,14,"Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg",NA,NA,NA,0,37,4,"outdoor_scenes","faces"
"88",87,21859,0,1,4,88,"intact",1,0,"C","C",3200,4,30,"Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg",NA,NA,NA,1,37,4,"outdoor_scenes","body_parts"
"89",88,21859,0,1,4,89,"recombined",0,0,"","K",2500,4,24,"Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg",NA,NA,NA,0,37,4,"outdoor_scenes","body_parts"
"90",89,21859,0,1,4,90,"intact",1,1,"K","K",1400,24,46,"Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg",NA,NA,NA,0,37,4,"body_parts","objects"
"91",90,21859,0,1,4,91,"recombined",0,1,"","E",1300,36,22,"Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg",NA,NA,NA,0,37,4,"objects","faces"
"92",91,21859,0,1,4,92,"recombined",0,1,"","D",1300,43,15,"Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg",NA,NA,NA,0,37,4,"objects","faces"
"93",92,21859,0,1,4,93,"intact",1,0,"J","J",4900,15,47,"Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg",NA,NA,NA,1,37,4,"faces","objects"
"94",93,21859,0,1,4,94,"intact",1,1,"D","D",1700,43,18,"Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg",NA,NA,NA,0,37,4,"objects","faces"
"95",94,21859,0,1,4,95,"recombined",0,0,"","L",1600,46,33,"Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg",NA,NA,NA,0,37,4,"objects","body_parts"
"96",95,21859,0,1,4,96,"recombined",0,0,"","F",1700,38,20,"Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg",NA,NA,NA,0,37,4,"objects","faces"
"97",96,21859,0,1,4,97,"intact",1,1,"F","F",1100,20,25,"Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg",NA,NA,NA,0,37,4,"faces","body_parts"
"98",97,21859,0,1,4,98,"recombined",0,1,"","J",1000,47,18,"Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg",NA,NA,NA,0,37,4,"objects","faces"
"99",98,21859,0,1,4,99,"recombined",0,0,"","C",3000,0,30,"Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg",NA,NA,NA,1,37,4,"outdoor_scenes","body_parts"
