"PID","practice","trial","block","run","gain_left","left_item_id","right_item_id","left_pair_id","right_pair_id","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","no_response","left_chosen","rt","higher_outcome_chosen","choice_type","iti"
NA,0,21,1,1,1,"gain4","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,22,1,1,0,"no_gain5","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,23,1,1,0,"no_gain2","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,24,1,1,0,"no_gain6","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,25,1,1,1,"gain6","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,26,1,1,0,"no_gain6","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,27,1,1,0,"no_gain1","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,28,1,1,0,"no_gain4","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,29,1,1,0,"no_gain6","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,30,1,1,0,"no_gain4","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,31,1,1,1,"gain1","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,32,1,1,0,"no_gain5","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,33,1,1,0,"no_gain4","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,34,1,1,1,"gain5","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,35,1,1,1,"gain1","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,36,1,1,1,"gain5","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,37,1,1,1,"gain4","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,38,1,1,0,"no_gain4","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,39,1,1,1,"gain4","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,40,1,1,0,"no_gain1","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,41,1,1,1,"gain1","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,42,1,1,0,"no_gain3","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,43,1,1,0,"no_gain4","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,44,1,1,1,"gain3","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,45,1,1,1,"gain2","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,46,1,1,1,"gain6","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,47,1,1,0,"no_gain1","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,48,1,1,1,"gain6","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,49,1,1,1,"gain2","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,50,1,1,1,"gain4","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,51,1,1,1,"gain4","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,52,1,1,1,"gain2","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,53,1,1,0,"no_gain6","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,54,1,1,0,"no_gain1","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,55,1,1,1,"gain6","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,56,1,1,0,"no_gain1","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,57,1,1,1,"gain6","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,58,1,1,1,"gain5","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,59,1,1,1,"gain3","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,60,1,1,0,"no_gain2","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,61,1,1,0,"no_gain6","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,62,1,1,0,"no_gain3","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,63,1,1,0,"no_gain5","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,64,1,1,1,"gain5","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,65,1,1,0,"no_gain1","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,66,1,1,0,"no_gain1","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,67,1,1,1,"gain3","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,68,1,1,1,"gain2","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,69,1,1,0,"no_gain2","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,70,1,1,0,"no_gain3","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,71,1,1,0,"no_gain6","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
NA,0,72,1,1,0,"no_gain5","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,73,1,1,0,"no_gain1","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,74,1,1,0,"no_gain4","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
NA,0,75,1,1,1,"gain5","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,76,1,1,1,"gain4","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,77,2,2,0,"no_gain3","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,78,2,2,0,"no_gain2","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,79,2,2,0,"no_gain2","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,80,2,2,1,"gain6","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,81,2,2,1,"gain3","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,82,2,2,1,"gain3","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,83,2,2,0,"no_gain6","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
NA,0,84,2,2,0,"no_gain6","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,85,2,2,1,"gain3","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,86,2,2,1,"gain3","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,87,2,2,1,"gain4","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,88,2,2,0,"no_gain2","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,89,2,2,1,"gain5","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,90,2,2,0,"no_gain5","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,91,2,2,1,"gain1","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,92,2,2,1,"gain6","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,93,2,2,1,"gain4","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,94,2,2,1,"gain2","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,95,2,2,0,"no_gain4","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,96,2,2,0,"no_gain6","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,97,2,2,0,"no_gain5","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,98,2,2,1,"gain5","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,99,2,2,1,"gain2","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,100,2,2,0,"no_gain5","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,101,2,2,0,"no_gain2","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,102,2,2,1,"gain6","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,103,2,2,1,"gain3","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,104,2,2,0,"no_gain6","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,105,2,2,0,"no_gain5","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,106,2,2,1,"gain6","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,107,2,2,0,"no_gain2","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,108,2,2,1,"gain3","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,109,2,2,0,"no_gain6","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,110,2,2,0,"no_gain5","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,111,2,2,0,"no_gain2","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,112,2,2,0,"no_gain1","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,113,2,2,0,"no_gain5","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,114,2,2,1,"gain6","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,115,2,2,1,"gain4","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,116,2,2,0,"no_gain2","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,117,2,2,0,"no_gain5","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,118,2,2,0,"no_gain1","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,119,2,2,1,"gain5","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,120,2,2,1,"gain5","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
NA,0,121,2,2,1,"gain2","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,122,2,2,1,"gain4","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,123,2,2,1,"gain3","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,124,2,2,1,"gain5","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,125,2,2,0,"no_gain4","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,126,2,2,1,"gain2","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,127,2,2,0,"no_gain1","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,128,2,2,0,"no_gain5","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,129,2,2,0,"no_gain3","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,130,2,2,1,"gain5","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,131,2,2,1,"gain1","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,132,2,2,0,"no_gain5","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,133,2,2,1,"gain4","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,134,2,2,1,"gain6","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,135,2,2,1,"gain5","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,136,2,2,0,"no_gain2","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,137,2,2,0,"no_gain1","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,138,2,2,1,"gain6","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,139,2,2,1,"gain1","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,140,2,2,0,"no_gain5","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,141,2,2,0,"no_gain3","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,142,2,2,0,"no_gain2","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,143,2,2,0,"no_gain1","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,144,2,2,1,"gain4","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,145,2,2,1,"gain1","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,146,2,2,1,"gain2","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,147,2,2,0,"no_gain4","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,148,2,2,0,"no_gain3","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,149,3,3,1,"gain3","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,150,3,3,0,"no_gain1","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,151,3,3,0,"no_gain3","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,152,3,3,0,"no_gain4","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,153,3,3,1,"gain6","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
NA,0,154,3,3,1,"gain5","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,155,3,3,0,"no_gain2","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,156,3,3,1,"gain2","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,157,3,3,0,"no_gain2","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,158,3,3,1,"gain2","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,159,3,3,1,"gain4","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,160,3,3,1,"gain6","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,161,3,3,1,"gain2","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,162,3,3,0,"no_gain1","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,163,3,3,0,"no_gain2","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,164,3,3,1,"gain6","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3000
NA,0,165,3,3,0,"no_gain4","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,166,3,3,0,"no_gain1","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,167,3,3,1,"gain6","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,168,3,3,1,"gain1","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,169,3,3,0,"no_gain4","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,170,3,3,0,"no_gain4","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,171,3,3,0,"no_gain1","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,172,3,3,1,"gain1","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,173,3,3,0,"no_gain3","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,174,3,3,0,"no_gain5","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,175,3,3,0,"no_gain4","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,176,3,3,1,"gain3","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,177,3,3,0,"no_gain2","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,178,3,3,1,"gain4","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,179,3,3,1,"gain2","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,180,3,3,1,"gain6","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,181,3,3,1,"gain1","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,182,3,3,0,"no_gain5","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,183,3,3,1,"gain1","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,184,3,3,0,"no_gain5","gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,185,3,3,0,"no_gain6","gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,186,3,3,1,"gain3","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,187,3,3,1,"gain3","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,188,3,3,1,"gain5","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,189,3,3,1,"gain5","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,190,3,3,0,"no_gain6","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3500
