,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,long_iti,simulation,version
28,,0,1,2,29,1300,K,chosen,,,,,,,0,31,2
29,,0,1,2,30,1900,F,chosen,,,,,,,0,31,2
30,,0,1,2,31,1400,L,unchosen,,,,,,,0,31,2
31,,0,1,2,32,1300,J,unchosen,,,,,,,0,31,2
32,,0,1,2,33,1500,D,chosen,,,,,,,0,31,2
33,,0,1,2,34,1300,D,unchosen,,,,,,,0,31,2
34,,0,1,2,35,1700,J,chosen,,,,,,,0,31,2
35,,0,1,2,36,1100,H,chosen,,,,,,,0,31,2
36,,0,1,2,37,3000,B,unchosen,,,,,,,1,31,2
37,,0,1,2,38,1700,A,chosen,,,,,,,0,31,2
38,,0,1,2,39,2900,B,chosen,,,,,,,0,31,2
39,,0,1,2,40,1100,I,unchosen,,,,,,,0,31,2
40,,0,1,2,41,1800,E,chosen,,,,,,,0,31,2
41,,0,1,2,42,1100,G,unchosen,,,,,,,0,31,2
42,,0,1,2,43,2200,L,chosen,,,,,,,0,31,2
43,,0,1,2,44,1700,H,unchosen,,,,,,,0,31,2
44,,0,1,2,45,1100,C,unchosen,,,,,,,0,31,2
45,,0,1,2,46,3600,G,chosen,,,,,,,1,31,2
46,,0,1,2,47,1800,K,unchosen,,,,,,,0,31,2
47,,0,1,2,48,1500,A,unchosen,,,,,,,0,31,2
48,,0,1,2,49,1700,I,chosen,,,,,,,0,31,2
49,,0,1,2,50,1400,F,unchosen,,,,,,,0,31,2
50,,0,1,2,51,3100,C,chosen,,,,,,,1,31,2
51,,0,1,3,52,2900,L,chosen,,,,,,,1,21,2
52,,0,1,3,53,1500,C,unchosen,,,,,,,0,21,2
53,,0,1,3,54,1700,F,chosen,,,,,,,0,21,2
54,,0,1,3,55,2000,A,chosen,,,,,,,0,21,2
55,,0,1,3,56,2000,J,unchosen,,,,,,,0,21,2
56,,0,1,3,57,2900,E,unchosen,,,,,,,1,21,2
57,,0,1,3,58,2000,G,chosen,,,,,,,0,21,2
58,,0,1,3,59,1000,K,unchosen,,,,,,,0,21,2
59,,0,1,3,60,1100,H,chosen,,,,,,,0,21,2
60,,0,1,3,61,1800,H,unchosen,,,,,,,0,21,2
61,,0,1,3,62,3200,F,unchosen,,,,,,,1,21,2
62,,0,1,3,63,1400,B,chosen,,,,,,,0,21,2
63,,0,1,3,64,2100,G,unchosen,,,,,,,0,21,2
64,,0,1,3,65,1200,K,chosen,,,,,,,0,21,2
65,,0,1,3,66,1100,I,unchosen,,,,,,,0,21,2
66,,0,1,3,67,4300,I,chosen,,,,,,,1,21,2
67,,0,1,3,68,2300,A,unchosen,,,,,,,0,21,2
68,,0,1,3,69,1300,D,chosen,,,,,,,0,21,2
69,,0,1,3,70,2000,D,unchosen,,,,,,,0,21,2
70,,0,1,3,71,1900,C,chosen,,,,,,,0,21,2
71,,0,1,3,72,2800,E,chosen,,,,,,,1,21,2
72,,0,1,3,73,1500,L,unchosen,,,,,,,0,21,2
73,,0,1,3,74,2100,B,unchosen,,,,,,,0,21,2
74,,0,1,3,75,1500,J,chosen,,,,,,,0,21,2
75,,0,1,4,76,1400,C,unchosen,,,,,,,0,21,2
76,,0,1,4,77,4100,F,chosen,,,,,,,1,21,2
77,,0,1,4,78,1000,A,unchosen,,,,,,,0,21,2
78,,0,1,4,79,2200,L,unchosen,,,,,,,0,21,2
