PID,phase,run,trial,event,onset,duration
90129,localizer,1,44,iti,44.899999999999935,0.3
90129,localizer,1,45,stimulus,45.19999999999993,0.4
90129,localizer,1,45,iti,45.59999999999993,14
90129,localizer,1,46,stimulus,59.59999999999993,0.4
90129,localizer,1,46,iti,59.99999999999993,0.3
90129,localizer,1,47,stimulus,60.299999999999926,0.4
90129,localizer,1,47,iti,60.699999999999925,0.3
90129,localizer,1,48,stimulus,60.99999999999992,0.4
90129,localizer,1,48,iti,61.39999999999992,0.3
90129,localizer,1,49,stimulus,61.69999999999992,0.4
90129,localizer,1,49,iti,62.099999999999916,0.3
90129,localizer,1,50,stimulus,62.39999999999991,0.4
90129,localizer,1,50,iti,62.79999999999991,0.3
90129,localizer,1,51,stimulus,63.09999999999991,0.4
90129,localizer,1,51,iti,63.49999999999991,0.3
90129,localizer,1,52,stimulus,63.799999999999905,0.4
90129,localizer,1,52,iti,64.1999999999999,0.3
90129,localizer,1,53,stimulus,64.4999999999999,0.4
90129,localizer,1,53,iti,64.8999999999999,0.3
90129,localizer,1,54,stimulus,65.1999999999999,0.4
90129,localizer,1,54,iti,65.59999999999991,0.3
90129,localizer,1,55,stimulus,65.8999999999999,0.4
90129,localizer,1,55,iti,66.29999999999991,0.3
90129,localizer,1,56,stimulus,66.59999999999991,0.4
90129,localizer,1,56,iti,66.99999999999991,0.3
90129,localizer,1,57,stimulus,67.29999999999991,0.4
90129,localizer,1,57,iti,67.69999999999992,0.3
90129,localizer,1,58,stimulus,67.99999999999991,0.4
90129,localizer,1,58,iti,68.39999999999992,0.3
90129,localizer,1,59,stimulus,68.69999999999992,0.4
90129,localizer,1,59,iti,69.09999999999992,0.3
90129,localizer,1,60,stimulus,69.39999999999992,0.4
90129,localizer,1,60,iti,69.79999999999993,0.3
90129,localizer,1,61,stimulus,70.09999999999992,0.4
90129,localizer,1,61,iti,70.49999999999993,0.3
90129,localizer,1,62,stimulus,70.79999999999993,0.4
90129,localizer,1,62,iti,71.19999999999993,0.3
90129,localizer,1,63,stimulus,71.49999999999993,0.4
90129,localizer,1,63,iti,71.89999999999993,0.3
90129,localizer,1,64,stimulus,72.19999999999993,0.4
90129,localizer,1,64,iti,72.59999999999994,0.3
90129,localizer,1,65,stimulus,72.89999999999993,0.4
90129,localizer,1,65,iti,73.29999999999994,14
90129,localizer,1,66,stimulus,87.29999999999994,0.4
90129,localizer,1,66,iti,87.69999999999995,0.3
90129,localizer,1,67,stimulus,87.99999999999994,0.4
90129,localizer,1,67,iti,88.39999999999995,0.3
90129,localizer,1,68,stimulus,88.69999999999995,0.4
90129,localizer,1,68,iti,89.09999999999995,0.3
90129,localizer,1,69,stimulus,89.39999999999995,0.4
90129,localizer,1,69,iti,89.79999999999995,0.3
90129,localizer,1,70,stimulus,90.09999999999995,0.4
90129,localizer,1,70,iti,90.49999999999996,0.3
90129,localizer,1,71,stimulus,90.79999999999995,0.4
90129,localizer,1,71,iti,91.19999999999996,0.3
90129,localizer,1,72,stimulus,91.49999999999996,0.4
90129,localizer,1,72,iti,91.89999999999996,0.3
90129,localizer,1,73,stimulus,92.19999999999996,0.4
90129,localizer,1,73,iti,92.59999999999997,0.3
90129,localizer,1,74,stimulus,92.89999999999996,0.4
90129,localizer,1,74,iti,93.29999999999997,0.3
90129,localizer,1,75,stimulus,93.59999999999997,0.4
90129,localizer,1,75,iti,93.99999999999997,0.3
90129,localizer,1,76,stimulus,94.29999999999997,0.4
90129,localizer,1,76,iti,94.69999999999997,0.3
90129,localizer,1,77,stimulus,94.99999999999997,0.4
90129,localizer,1,77,iti,95.39999999999998,0.3
90129,localizer,1,78,stimulus,95.69999999999997,0.4
90129,localizer,1,78,iti,96.09999999999998,0.3
90129,localizer,1,79,stimulus,96.39999999999998,0.4
90129,localizer,1,79,iti,96.79999999999998,0.3
90129,localizer,1,80,stimulus,97.09999999999998,0.4
90129,localizer,1,80,iti,97.49999999999999,0.3
90129,localizer,1,81,stimulus,97.79999999999998,0.4
90129,localizer,1,81,iti,98.19999999999999,0.3
90129,localizer,1,82,stimulus,98.49999999999999,0.4
90129,localizer,1,82,iti,98.89999999999999,0.3
90129,localizer,1,83,stimulus,99.19999999999999,0.4
90129,localizer,1,83,iti,99.6,0.3
90129,localizer,1,84,stimulus,99.89999999999999,0.4
90129,localizer,1,84,iti,100.3,0.3
90129,localizer,1,85,stimulus,100.6,0.4
90129,localizer,1,85,iti,101,14
90129,localizer,1,86,stimulus,115,0.4
90129,localizer,1,86,iti,115.4,0.3
90129,localizer,1,87,stimulus,115.7,0.4
90129,localizer,1,87,iti,116.10000000000001,0.3
90129,localizer,1,88,stimulus,116.4,0.4
90129,localizer,1,88,iti,116.80000000000001,0.3
90129,localizer,1,89,stimulus,117.10000000000001,0.4
90129,localizer,1,89,iti,117.50000000000001,0.3
90129,localizer,1,90,stimulus,117.80000000000001,0.4
90129,localizer,1,90,iti,118.20000000000002,0.3
90129,localizer,1,91,stimulus,118.50000000000001,0.4
90129,localizer,1,91,iti,118.90000000000002,0.3
90129,localizer,1,92,stimulus,119.20000000000002,0.4
90129,localizer,1,92,iti,119.60000000000002,0.3
90129,localizer,1,93,stimulus,119.90000000000002,0.4
90129,localizer,1,93,iti,120.30000000000003,0.3
90129,localizer,1,94,stimulus,120.60000000000002,0.4
90129,localizer,1,94,iti,121.00000000000003,0.3
90129,localizer,1,95,stimulus,121.30000000000003,0.4
90129,localizer,1,95,iti,121.70000000000003,0.3
90129,localizer,1,96,stimulus,122.00000000000003,0.4
90129,localizer,1,96,iti,122.40000000000003,0.3
90129,localizer,1,97,stimulus,122.70000000000003,0.4
90129,localizer,1,97,iti,123.10000000000004,0.3
90129,localizer,1,98,stimulus,123.40000000000003,0.4
90129,localizer,1,98,iti,123.80000000000004,0.3
90129,localizer,1,99,stimulus,124.10000000000004,0.4
90129,localizer,1,99,iti,124.50000000000004,0.3
90129,localizer,1,100,stimulus,124.80000000000004,0.4
90129,localizer,1,100,iti,125.20000000000005,0.3
90129,localizer,1,101,stimulus,125.50000000000004,0.4
90129,localizer,1,101,iti,125.90000000000005,0.3
90129,localizer,1,102,stimulus,126.20000000000005,0.4
90129,localizer,1,102,iti,126.60000000000005,0.3
90129,localizer,1,103,stimulus,126.90000000000005,0.4
90129,localizer,1,103,iti,127.30000000000005,0.3
90129,localizer,1,104,stimulus,127.60000000000005,0.4
90129,localizer,1,104,iti,128.00000000000006,0.3
90129,localizer,1,105,stimulus,128.30000000000007,0.4
90129,localizer,1,105,iti,128.70000000000007,14
90129,localizer,1,106,stimulus,142.70000000000007,0.4
90129,localizer,1,106,iti,143.10000000000008,0.3
90129,localizer,1,107,stimulus,143.4000000000001,0.4
90129,localizer,1,107,iti,143.8000000000001,0.3
90129,localizer,1,108,stimulus,144.1000000000001,0.4
90129,localizer,1,108,iti,144.5000000000001,0.3
90129,localizer,1,109,stimulus,144.80000000000013,0.4
90129,localizer,1,109,iti,145.20000000000013,0.3
90129,localizer,1,110,stimulus,145.50000000000014,0.4
90129,localizer,1,110,iti,145.90000000000015,0.3
90129,localizer,1,111,stimulus,146.20000000000016,0.4
90129,localizer,1,111,iti,146.60000000000016,0.3
90129,localizer,1,112,stimulus,146.90000000000018,0.4
90129,localizer,1,112,iti,147.30000000000018,0.3
90129,localizer,1,113,stimulus,147.6000000000002,0.4
90129,localizer,1,113,iti,148.0000000000002,0.3
90129,localizer,1,114,stimulus,148.3000000000002,0.4
90129,localizer,1,114,iti,148.70000000000022,0.3
90129,localizer,1,115,stimulus,149.00000000000023,0.4
90129,localizer,1,115,iti,149.40000000000023,0.3
90129,localizer,1,116,stimulus,149.70000000000024,0.4
90129,localizer,1,116,iti,150.10000000000025,0.3
90129,localizer,1,117,stimulus,150.40000000000026,0.4
